No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil,Poor20,Poor10
173,Annual,625386,140103,TRUE,-3.2791886,0.011535943,0.55278903,0.546144825,0.71769863,0.16491358,69.22095856,10.54461259,1826,2.393154433,1.485532175,283.7002456,6.701862052,0.006948768,5.335425042,99610.11471,319.7724384,123.6540026,138.7361755,4.865570545,5.100006104,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,32.40840962,773.3551718,1001,0,Chalk,silt loam,loam,#N/A,#N/A
176,Annual,342026,365125,TRUE,-948.2855,-2.9051979,0.33091003,0.338390618,4.801589,1.5923226,1.341000858,0.165677762,1802,1.884063526,1.423678133,283.7010402,6.877820409,0.006701128,3.73791492,101197.4331,324.6980757,117.0993482,8.6740942,3.927866459,3.300000191,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.505246127,1179.835327,1,711.869812,Triassic Sandstone,loam,clay loam,#N/A,#N/A
177,Annual,428955,210655,FALSE,-7.263875,-0.0650152,0.9499252,0.96538201,2.0471807,1.1875241,2.121472722,0.780107639,57,1.874479737,1.41466859,283.6218576,7.806790904,0.006701196,3.584087332,100098.3191,322.4127155,116.8608451,98.39550781,1.502653718,3.800003052,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,1.782402328,312.0678377,51,0,Oolites,clay,clay,#N/A,#N/A
218,Annual,505345,363625,FALSE,-1.3028486,-0.024412513,0.49814984,0.447871513,1.2145021,0.13307656,12.59764107,2.269473232,60,1.737623218,1.509003752,283.5508383,7.04030681,0.006609659,4.561794994,101020.4452,321.83794,118.7584941,31.95514107,1.283677936,16.20000267,19,37,44,1.409999967,31,31,38,1.330000043,130,0.0005,2.27347357,107.2832133,751,0,Oolites,loam,clay loam,#N/A,#N/A
229,Multiannual,623984,153700,TRUE,-298.41357,0.1992777,0.5452433,0.499508529,0.35586137,0.8605805,28.89181173,1.076963313,47,2.06818182,1.495717899,284.1827794,6.701862052,0.007028121,4.623345562,100604.444,321.8780204,122.4613366,50.24606705,4.155673981,6.799999237,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,38.37260218,176.5608207,1001,0,Lower Greensand,sandy loam,sandy loam,#N/A,#N/A
236,Annual,567460,164680,TRUE,-3187.116,0.3520394,0.76451004,0.704715924,0.56000745,0.58671623,113.2744512,0.882755916,1600,1.858707561,1.439022573,283.6720275,8.545290384,0.006752663,4.343152255,99882.5199,319.7345254,115.8439486,145.2801208,2.247208357,57.09999847,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,18.64773999,463.2404554,251,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
238,Annual,497435,312335,FALSE,-27.014666,0.020517468,0.8493767,0.942469281,0.29728267,0.33450264,12.73030385,1.706798024,59,1.743756847,1.509396009,283.4353129,8.170701117,0.006566161,4.437164208,100448.0259,321.2236694,118.8052939,80.21742249,1.558400154,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.04442609,74.53048326,101,0,Oolites,clay,clay,#N/A,#N/A
255,Annual,490055,105745,TRUE,-112.005714,-2.9668596,0.74593484,0.822717868,4.956636,0.8715386,0.884331827,0.329818924,59,2.099233296,1.451054752,284.4334392,6.336254195,0.007045875,3.386992298,101332.8498,323.3428726,123.5502422,13.30128098,0.494735688,0,49,19,32,1.24000001,47,21,32,1.24000001,100,0.005,22.15679031,547.1137359,1001,0,Chalk,clay,clay,#N/A,#N/A
264,Multiannual,471045,187253,TRUE,-174.4532,0.05885738,0.25619256,0.19299313,0.85333353,1.5576653,88.16175193,0.983576241,39,2.049233299,1.470340541,283.2442582,8.154764635,0.006580623,4.249564207,99274.83763,319.5642603,119.3912903,175.2384186,2.03237772,59.50000763,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,7.647990614,94.25878722,251,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
271,Annual,494609,442896,TRUE,-10.501849,0.3665887,0.88555396,0.82451742,0.6389572,0.49229935,34.26123318,3.707547806,58,1.992606794,1.442092081,282.9902753,7.297097527,0.006474111,4.628332713,100598.7196,319.3077831,118.2381109,55.20554352,3.371279478,6.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,9.340344288,91.72454819,51,0,Chalk,loam,,#N/A,#N/A
287,Multiannual,624617,160944,TRUE,-16.2741,0.08106059,0.7473161,0.735450414,1.6348697,1.6144539,1.159653259,0.183594995,49,1.602245344,1.478737954,284.4584169,6.701862052,0.007083187,3.907532313,101177.6456,323.1032602,122.8454145,3.558632851,7.633376598,3.799999952,21,39,40,1.399999976,21,41,38,1.399999976,520,0.005,43.37214354,112.9018868,1001,0,Chalk,loam,loam,#N/A,#N/A
297,Annual,506038,345901,TRUE,0.12071681,0.03897941,0.5516818,0.669444596,0.85124177,0.16307598,1.010745584,0.832473562,55,1.705202624,1.50136089,283.6816119,7.961938764,0.006641017,4.527837201,101250.2325,322.4006122,117.1110236,15.44710922,1.230912328,0,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.222917668,290.7896776,751,35.31599426,Oolites,clay,clay,#N/A,#N/A
302,Annual,531819,109458,TRUE,-21.934555,0.4862718,0.8182466,0.874086495,0.71290976,0.61469305,67.11031916,4.056137392,1799,2.321193861,1.502602111,283.9113754,6.292935412,0.006929302,4.14421835,100242.3233,320.6242239,127.5791787,91.28765869,9.974733353,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.05959683,1930.27454,1,0,Chalk,loam,,#N/A,#N/A
303,Annual,548655,364605,FALSE,-139.99007,-1.9833658,-0.25795877,-0.222427645,3.6502051,1.5426372,0.865841016,0.196178636,57,1.809419492,1.520360682,283.6525203,6.437349428,0.006677425,4.859092765,101214.1845,321.6319263,119.7478984,4.848472595,1.115942478,0.599999905,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,12.18957628,81.1427191,751,0,Spilsby Sandstone,loam,clay loam,0,0
311,Annual,589670,149272,TRUE,-6598.356,-7.040244,0.5294805,0.637813472,8.987611,1.7888217,6.199434757,0.609669009,56,1.828313254,1.509166751,283.8821058,7.604655088,0.006886554,4.396422273,100109.8072,320.5258706,124.4884452,108.6147919,2.566547394,42,22,42,36,1.399999976,25,41,34,1.379999995,270,0.0006,12.79083825,101.0276796,1001,9.910313606,Corallian Limestone,loam,loam,#N/A,#N/A
312,Multiannual,501015,342715,TRUE,-379.30637,-0.534884,0.70571005,0.749718134,0.4671106,2.409022,4.720954347,0.129584181,56,1.744961668,1.44691948,283.4983112,8.170701117,0.006587105,3.744101973,100836.1177,321.6099672,117.9596635,25.83256149,0.650445879,0.099998474,22,42,36,1.399999976,0,0,0,0,130,0.0005,3.813014503,95.0555383,751,0,Oolites,loam,,#N/A,#N/A
318,Annual,438130,175470,TRUE,-16930.98,-61.286213,0.85816187,0.867555089,62.71976,9.381051,0.431461819,0.205092485,1656,1.887623228,1.464691357,283.6811991,8.427272862,0.006737701,3.540311786,100138.5792,322.0197981,122.9732693,106.2253952,1.516220093,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,33.13087035,62.67278141,51,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
324,Annual,414670,227860,TRUE,-3.7699208,-0.17045653,0.46360135,0.311711895,0.9461224,2.0389156,25.38327815,1.115433657,57,2.135213585,1.434528754,283.1003729,7.806790904,0.006550985,4.381621449,99154.66361,320.3572311,116.1421263,187.9916992,4.022895813,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,1.452256963,73.43486748,51,0,Oolites,clay,clay,#N/A,#N/A
337,Annual,489058,182936,TRUE,0.16996193,0.6139586,0.6970476,0.778314062,1.0785687,0.7740047,2.749891418,0.388052214,1477,1.685268352,1.471706063,284.1890378,8.154764635,0.006852447,3.479353149,101147.3766,323.6508913,120.5269664,24.74103546,2.668940067,0.200000763,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,16.17369982,1161.582255,251,0,Chalk,loam,clay loam,#N/A,#N/A
339,Decadal,559006,160641,TRUE,-59618.09,-17.334782,0.18252584,0.255279503,0.5334869,19.310726,83.83581914,0.160672481,42,2.018127052,1.495463938,283.1334236,8.545290384,0.006595446,5.055080217,98801.28777,317.2596959,119.9826211,203.332962,1.637889862,3.300003052,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,13.26200468,336.6891099,1,0,Chalk,loam,loam,2,2
340,Multiannual,537245,389465,FALSE,-40.573368,-2.0440958,0.3320629,0.354289642,0.91193724,3.9686255,12.35013058,0.207549273,57,1.824534499,1.491562582,283.491742,6.437349428,0.006641554,4.840703529,101125.7338,321.1367947,119.0382588,15.74083233,0.231082827,4.5,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,13.63466972,167.2594529,751,0,Chalk,loam,clay loam,#N/A,#N/A
346,Decadal,333635,548625,FALSE,-127.161255,0.3168162,0.6961762,0.639885885,0.49362212,1.3435345,6.205008849,0.278565773,1826,2.557064615,1.338218101,282.6777579,6.794414089,0.006289922,4.080006891,100500.7108,320.0484911,109.234257,45.44743729,9.546452522,0,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,1.980228504,75.42879576,1,0,Triassic Sandstone,loam,clay loam,#N/A,#N/A
364,Multiannual,461475,404015,TRUE,0.31796384,0.5728711,0.6077676,0.46301146,1.0041912,0.8309601,3.43142616,0.359259442,56,1.712595835,1.480753031,283.4730932,7.170043959,0.00657,4.419124577,101274.2467,322.1704105,117.5154019,7.457140446,0.254066259,0,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,0.00377403,1315.255355,2501,0,Triassic Sandstone,sandy loam,sandy loam,#N/A,#N/A
381,Annual,512910,110750,TRUE,-1.5972273,0.3494159,0.6727591,0.715910059,0.70684505,0.5201738,32.84680767,6.76412652,1670,2.603340636,1.502724209,283.8864465,6.292935412,0.006893327,4.137378198,100199.4919,320.6354557,126.8594576,96.44393158,2.618602753,2.699996948,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,16.62384726,317.5120003,1001,0,Chalk,clay,clay,#N/A,#N/A
399,Annual,507365,311205,FALSE,-0.7748778,-0.2310909,0.6362784,0.6545703,1.8614763,0.19928013,1.317311543,1.141264546,52,1.672343918,1.476979978,283.8286724,7.961938764,0.006677504,3.716057688,101249.8243,322.8918221,118.8973681,15.30923462,0.550636232,0,22,42,36,1.399999976,0,0,0,0,184,0.02,5.621647872,151.1581076,101,0,Oolites,loam,,#N/A,#N/A
413,Annual,505145,339485,TRUE,-9.567326,-0.12788391,0.5835364,0.542636454,0.45645708,0.10376285,15.1495129,2.646960178,56,1.704052573,1.449774582,283.651397,7.961938764,0.006631101,3.76100468,101134.5315,322.2334961,117.4486844,31.08219147,1.286149383,9,48,23,29,1.25,45,26,29,1.25999999,184,0.02,2.655440775,82.79085124,751,0,Oolites,clay,clay,#N/A,#N/A
423,Multiannual,487395,125045,TRUE,-1860.4006,-1.3413293,0.36080095,0.356414097,0.70039064,3.2323818,45.12096925,0.314108729,53,2.565388828,1.533344336,283.4428729,8.449890581,0.006713387,4.921697022,99452.1603,319.1166541,124.9901054,157.72229,3.684126377,60.29999542,4,87,9,1.730000019,4,88,8,1.74000001,270,0.0006,14.27648075,89.74661279,1001,0,Lower Greensand,sand,sand,#N/A,#N/A
430,Decadal,510715,420895,TRUE,-2.75573,0.48737884,0.6525893,0.605672621,0.9022521,1.3640523,6.648543045,0.39731749,57,1.820481926,1.483912476,283.3885038,6.699781022,0.006597035,4.703248396,100994.0522,321.0319975,119.0032084,9.41047287,0.741170585,4.599999905,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,13.91468617,105.9411123,1001,0,Chalk,loam,clay loam,#N/A,#N/A
466,Annual,498905,375335,FALSE,-5.5423994,0.108327925,0.5888156,0.63397226,0.6218114,0.305033,4.477153777,0.702547852,58,1.96796276,1.50186307,283.4131241,7.722836944,0.006570603,4.546591345,100915.2369,321.3234575,119.3613356,34.18956757,1.059941888,0,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,1.732160791,785.8742157,751,0,Oolites,clay,clay,#N/A,#N/A
469,Annual,594729,165259,TRUE,-32.21697,-0.13420975,0.36648533,0.389815253,0.5168594,0.19274189,10.27694659,0.873362636,1564,1.427984667,1.478998777,284.4440673,7.604655088,0.0070091,3.723200375,101287.3597,323.1458637,121.7037163,11.02864838,2.164262295,7.600000381,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,29.25463235,472.3144148,251,0,Chalk,loam,clay loam,#N/A,#N/A
489,Annual,454185,123415,TRUE,-8.0759945,-0.0700202,0.5790399,0.575990157,1.7715832,0.38975808,18.6796224,4.980199952,58,2.429299012,1.468317219,283.9459437,8.427272862,0.006862216,4.215283427,100451.3832,321.9770367,120.2406212,76.91307068,5.249445438,7.200004578,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,45.85805783,170.0734679,1,91.70322418,Chalk,loam,clay loam,#N/A,#N/A
512,Annual,503035,368725,FALSE,-1541.955,-0.05499637,0.5118003,0.544629132,0.344305,1.6669029,7.771311516,0.129810985,58,1.787787516,1.490931404,283.4942869,7.04030681,0.006593652,4.555213832,100949.8384,321.631046,117.4116053,26.23924255,1.988454461,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,1.028843694,375.922739,751,0,Oolites,clay,clay,#N/A,#N/A
516,Annual,493890,428182,TRUE,-0.037657857,-0.26171827,0.14375699,0.41977293,1.1362768,0.083370395,6.426906755,3.745585163,59,1.906900327,1.422433468,283.3325683,7.297097527,0.006562089,3.845743162,101166.1534,320.9788366,118.2875301,14.42639828,0.28071928,8.300000191,10,76,14,1.580000043,26,60,14,1.409999967,184,0.02,1.476537494,294.0039892,51,5204.772949,Triassic Sandstone,sandy loam,sandy clay loam,0,0
518,Annual,414140,126240,TRUE,-5.2084746,0.38575786,0.7800895,0.777301245,1.1312729,1.5583036,11.81084107,0.679169917,54,2.283734937,1.479027575,284.16594,8.146276078,0.00694144,3.575214903,100858.8017,323.8201163,124.524115,59.83287811,2.743944407,14,19,37,44,1.409999967,0,0,0,0,550,0.015,6.279547803,426.6252984,51,0,Chalk,loam,,#N/A,#N/A
519,Decadal,556409,97729,TRUE,-123.176384,-4.5573654,0.6909816,0.63208017,0.97966504,6.5487714,72.83048385,0.156686952,53,2.215388828,1.428057384,283.9890021,6.103997887,0.007048068,4.913731312,100341.5343,320.883338,120.4487486,80.96086121,7.732772827,26.90000534,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,10.86125166,757.8031024,1,0,Chalk,loam,clay loam,#N/A,#N/A
523,Annual,504835,362615,FALSE,-144.13731,-4.9368563,0.135491,0.289148565,0.8551582,6.87182,15.32188285,0.223293984,57,1.749342822,1.510346323,283.4968235,7.04030681,0.006593583,4.554683789,100900.8408,321.5965379,119.1945069,38.90504074,0.788397908,13.29999924,48,23,29,1.25,45,26,29,1.25999999,130,0.0005,3.356184094,103.8321772,751,0,Oolites,clay,clay,2,2
524,Annual,292214,80512,TRUE,-15.971275,0.036511123,0.28378248,0.303222489,0.8725123,1.631738,23.49952421,0.794056774,1706,2.788280398,1.57913369,283.567099,6.870865304,0.006926241,5.544881944,98885.43197,322.4452376,133.7257773,209.2644043,16.08118248,94.8999939,19,37,44,1.409999967,31,31,38,1.330000043,30,0.14,4.260831168,247.6885997,51,0,Permian Sandstone,loam,clay loam,#N/A,#N/A
534,Multiannual,505649,194842,TRUE,-17763.533,-2.5772936,0.5972452,0.614246185,2.52923,4.208797,23.00829284,0.264087385,54,1.787842281,1.478305498,284.0397052,7.941128241,0.006792634,3.501646172,100879.0901,322.7833433,121.2268798,69.5762558,2.572648048,22.80000305,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,30.69705609,1084.283055,101,0,Chalk,loam,loam,#N/A,#N/A
547,Annual,443980,177743,TRUE,-14.08723,0.058047414,0.84833187,0.849264249,0.2868882,0.4035582,19.63674059,3.663664281,1659,1.933187295,1.503840154,283.4639305,8.427272862,0.006669004,4.285347325,99709.32907,320.9354997,122.4316511,131.804718,1.996718884,0,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,28.9140785,53.09990584,51,0,Chalk,silt loam,loam,#N/A,#N/A
565,Annual,503815,102495,TRUE,-72.34076,0.35833478,0.8470132,0.839081978,0.38159522,1.076845,5.011843392,0.362737871,57,1.986746987,1.496735436,284.4914817,6.336254195,0.007083312,4.129627951,101444.8107,323.4125509,123.4087576,7.867632866,0.632261038,1.099999905,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,21.43753448,1247.430158,1001,0,Chalk,loam,clay loam,#N/A,#N/A
574,Annual,435355,151255,TRUE,-3.6238356,0.35938317,0.7882175,0.759697678,0.79418814,0.43151128,36.4277867,3.694591283,60,2.131599123,1.500137326,283.6008673,8.427272862,0.006737569,4.286395782,99864.42347,321.2722478,123.0680143,126.3532867,1.9591856,12.00000763,19,37,44,1.409999967,0,0,0,0,550,0.015,34.44516392,304.5084898,1,0,Chalk,loam,,#N/A,#N/A
579,Multiannual,624809,158620,TRUE,-66.565575,-6.7715187,0.68791234,0.618614782,0.9949137,8.765324,30.43943753,0.115583885,1826,1.715334059,1.458862866,284.4111188,6.701862052,0.007077364,3.898282157,101076.5236,322.9013797,121.7513541,32.43898773,0.824574351,30.70000076,22,41,37,1.399999976,29,37,34,1.350000024,520,0.005,42.01033244,117.847334,1001,0,Chalk,loam,clay loam,#N/A,#N/A
586,Annual,469505,141905,TRUE,-108.23778,0.7011187,0.7435869,0.728503089,1.1365899,0.9298189,54.59631483,0.715080837,54,2.355093098,1.453919913,283.4285066,8.427272862,0.006684387,4.204864701,99467.84865,319.6573402,120.3525675,180.5866852,1.745035648,54.8999939,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,31.55244568,305.6661161,501,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
597,Annual,640912,309568,TRUE,0.7817067,0.65413713,0.92661774,0.939149372,1.167224,0.70627874,0.345809003,0.343357761,57,1.688773275,1.619110138,283.9503611,6.690909165,0.006808363,5.664456283,101333.691,321.11402,124.6777841,0.210019529,0.078775592,0.899999976,49,19,32,1.24000001,47,21,32,1.24000001,400,0.075,111.3888525,114.6117346,1001,0,Crag,clay,clay,#N/A,#N/A
603,Decadal,458205,162865,TRUE,-1797.4407,-0.66065526,0.21544161,0.270615758,0.44330147,2.3536396,51.17590143,0.672830579,1670,1.927327488,1.494517869,283.7886039,8.427272862,0.006769544,4.242946927,100285.7436,321.9508089,120.6785893,105.1357346,0.778166413,13.5,6,75,19,1.629999995,7,79,14,1.629999995,100,0.005,21.01959152,233.8611061,51,0,Chalk,sandy loam,loamy sand,1,0
637,Decadal,458855,146055,TRUE,-8.107017,0.74208385,0.80523473,0.741657646,0.93410385,0.84429276,61.13933845,1.361694788,62,2.335158815,1.454591264,283.5492684,8.427272862,0.006716571,4.228516424,99734.25546,320.5191862,118.8540999,161.1767578,0.484552354,16.29998779,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,34.07260984,362.7019291,1,0,Chalk,loam,loam,#N/A,#N/A
668,Multiannual,630368,158751,TRUE,-10.909179,0.35437357,0.65773785,0.513663341,1.3037215,0.5445413,6.934133389,0.625708733,57,1.722343919,1.533869043,284.4587503,6.701862052,0.007104951,4.701737134,101161.2201,323.1262347,123.9973465,17.46027374,4.017651558,13.80000019,22,41,37,1.399999976,29,37,34,1.350000024,90,0.001,46.5037704,161.4271932,1001,0,Lower Greensand,loam,clay loam,#N/A,#N/A
669,Annual,586092,303080,TRUE,-803.9675,-10.388868,0.47245997,0.5560153,12.086639,3.552408,0.964573763,0.379343346,49,1.868236582,1.531000823,283.7828214,7.787020949,0.006692396,4.211911876,100966.6338,321.115654,122.3355726,31.33539009,4.945590973,3.20000267,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,56.52101026,61.57651643,5001,0,Chalk,loam,clay loam,#N/A,#N/A
681,Annual,498975,383875,FALSE,-13.628144,-0.009010792,0.4712497,0.479804475,0.5143269,0.29102382,10.36848397,1.354692854,56,1.777437022,1.488810614,283.4024734,7.722836944,0.006570212,4.559959455,100967.1245,321.2812526,118.4331414,34.40812683,1.562202454,6.300001144,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,10.27159739,68.06278907,751,341.5582581,Oolites,clay,clay,#N/A,#N/A
682,Annual,637412,152312,FALSE,-221.94305,-0.97920215,0.015237127,0.007146995,0.61142623,2.6722915,5.133488436,0.136076996,1645,1.95536692,1.524698448,284.5235342,6.701862052,0.007170162,4.730522808,101267.1685,323.5420541,124.6702291,5.834472656,0.702054858,2.400000095,10,82,8,1.590000033,17,75,8,1.5,550,0.015,48.55513486,760.4183308,1001,0,Chalk,loamy sand,sandy loam,1,0
683,Annual,610938,148896,TRUE,-14.669061,-0.024416208,0.6038972,0.568790181,0.65976965,0.11865197,94.49867752,8.357818995,59,2.225082146,1.504297068,283.6933331,6.701862052,0.006873713,4.51205554,99631.38072,319.6009327,126.0505392,145.4871521,0.782675683,49.50000763,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,25.14424588,109.0240691,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
697,Annual,414545,176455,TRUE,-17.115551,0.3780291,0.94137615,0.942255991,1.3406179,0.48290196,67.03377945,5.413200029,59,2.161336258,1.464407372,283.0395706,8.146276078,0.006568057,5.121868007,98814.51724,319.4049378,116.8609777,222.8627625,6.852643013,43.80000305,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,19.4122403,134.8419339,51,0,Chalk,loam,clay loam,#N/A,#N/A
700,Annual,496055,122035,TRUE,-1133.7654,-1.7633588,0.7004012,0.710296789,2.623379,3.216093,8.800154081,0.425372747,58,2.339868563,1.522081691,283.9705022,6.336254195,0.006878533,4.156813747,100432.0186,321.4420958,125.9756617,64.92463684,3.034227371,48.40000153,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,6.246655208,56.4955544,1001,7.126821995,Lower Greensand,sandy loam,sandy loam,#N/A,#N/A
701,Annual,499885,379795,FALSE,-63.83351,0.22296041,0.6564518,0.651024569,0.4098653,0.6291831,6.205743603,0.456837777,62,1.873603505,1.496203954,283.4453841,7.722836944,0.006581605,4.558586323,101018.4006,321.4647649,118.7857804,29.77945328,1.90901804,3.300001144,19,37,44,1.409999967,31,31,38,1.330000043,130,0.0005,6.279627133,127.8816854,751,0,Oolites,loam,clay loam,#N/A,#N/A
743,Annual,501945,365615,FALSE,-696.0548,-4.510406,0.30377415,0.324176667,0.69807583,6.4579587,9.553313384,0.112421315,59,1.784665939,1.486398691,283.3930981,7.04030681,0.006563737,4.544721448,100715.9187,321.1627458,117.4313468,54.17839813,0.858936548,8.599998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,1.963031578,270.8277272,751,0,Oolites,clay,clay,#N/A,#N/A
