No,Wavelet transform,period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,train,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std
47,Multiannual,3.6,Moreton Lodge,353845,323455,52.806649,-2.686111,Permian Sandstone,sandy loam,sandy clay loam,1.898515011,1.428335315,282.657828,7.456531633,0.006376208,4.726412761,99995.14315,320.7650794,115.299557,,1999,2014,16,0.131506849,5651,187,63,16,353.1875,11.6875,3.9375,41.28800841,0.469501832,,2015,2019,5,0.534246575,1575,53,19,5,315,10.6,3.8,41.2316181,0.186709023
56,Annual,1,Marlston Farm,453385,171915,51.443713,-1.233251,Chalk,clay,clay,1.938577194,1.396407407,283.1730277,8.220511404,0.006549736,3.638131028,100541.389,320.4332672,117.2503317,,1973,2014,42,1.032876712,5891,449,158,42,140.2619048,10.69047619,3.761904762,5.443207236,0.882710312,,2015,2019,5,0.002739726,1825,60,20,5,365,12,4,5.627995523,0.491951055
58,Multiannual,7.1,Wested Farm,551843,166864,51.380518,0.180509,Lower Greensand,loam,loam,1.89399508,1.420399696,283.1052407,8.253918987,0.006548959,4.455798583,100310.4456,318.7651863,115.2026161,,1971,2014,44,0.493150685,1286,491,172,44,29.22727273,11.15909091,3.909090909,57.12620935,0.689259415,,2015,2019,5,0.17260274,58,58,20,5,11.6,11.6,4,57.11783374,0.713095382
63,Annual,1,Winchester Guildhall,448505,129295,51.060948,-1.309225,Chalk,loam,,2.256907511,1.43327355,283.5054693,8.220511404,0.006683967,3.531366722,101053.1733,321.1977349,122.1298842,,2000,2014,15,0.21369863,175,162,57,15,11.66666667,10.8,3.8,2.63995283,0.364013249,,2015,2019,5,0.189041096,61,59,20,5,12.2,11.8,4,2.790792174,0.235178205
67,Annual,1,Cundall Sandstone,442090,472497,54.14657,-1.357128,Triassic Sandstone,sandy loam,sandy clay loam,1.731931874,1.41072672,282.6119642,7.343361654,0.00624748,4.595833571,100999.2463,320.031213,111.4884863,,1986,2014,29,0.561643836,8406,331,111,29,289.862069,11.4137931,3.827586207,2.183004202,0.297064865,,2015,2019,5,0.095890411,1753,60,20,5,350.6,12,4,1.998048707,0.21498076
75,Multiannual,7.1,Pipstile Farm Uphampton,383541,264701,52.280196,-2.242666,Triassic Sandstone,loam,loam,1.808998096,1.464712925,283.0481139,7.636595673,0.006499797,4.674115067,100513.8806,321.9962005,116.9087185,,1973,2014,42,1.052054795,610,458,160,42,14.52380952,10.9047619,3.80952381,5.139458582,1.138229102,,2015,2019,5,0.257534247,53,44,20,5,10.6,8.8,4,5.461416207,0.894373895
79,Annual,1.9,Hornsea,518302,448799,53.921812,-0.200043,Chalk,loam,clay loam,1.766513526,1.409101661,282.6063979,6.690779161,0.006344146,5.003186336,100914.8517,319.0676107,114.3907332,,1978,2014,37,0.657534247,412,393,142,37,11.13513514,10.62162162,3.837837838,2.68533343,1.010664634,,2015,2019,5,0.556164384,48,48,19,5,9.6,9.6,3.8,2.10527275,1.056453629
82,Annual,1,Black Hall Farm,427625,287725,52.48674,-1.594605,Unallocated to aquifers,loam,clay loam,1.928205484,1.433411571,282.5955308,7.986667603,0.006325021,4.597716115,99825.81953,319.630489,114.2002282,,2004,2014,11,0.189041096,120,118,43,11,10.90909091,10.72727273,3.909090909,12.37746893,0.824978989,,2015,2019,5,0.243835616,52,47,20,5,10.4,9.4,4,12.58804906,0.530251245
85,Annual,1,West Cowick,464601,421302,53.684177,-1.023343,Triassic Sandstone,loam,clay loam,1.645904681,1.428342082,282.8352244,7.197851421,0.006333835,4.689595481,101333.746,320.8586813,112.067857,,1993,2014,22,0.189041096,249,249,85,22,11.31818182,11.31818182,3.863636364,0.968264831,0.833826859,,2015,2019,5,0.178082192,58,58,20,5,11.6,11.6,4,1.059464111,0.848281329
89,Annual,1,Sproxton,462352,481645,54.22672,-1.045082,Corallian Limestone,clay,clay,2.042540255,1.372932447,282.2210401,7.343361654,0.00616231,3.933907738,100319.166,317.9024018,115.0248412,,1972,2014,43,1.931506849,9975,476,161,42,237.5,11.33333333,3.833333333,26.20335233,1.361817412,,2015,2019,5,0.065753425,1778,60,20,5,355.6,12,4,26.07573855,1.307753394
90,Annual,1,Mayhouse Farm,386475,262865,52.26377,-2.199586,Triassic Sandstone,loam,clay loam,1.818223582,1.477737541,283.2492747,7.636595673,0.006554502,4.665496538,100914.583,322.90434,116.9679982,,1984,2014,31,1.063013699,351,308,117,31,11.32258065,9.935483871,3.774193548,2.12337914,1.056868854,,2015,2019,5,0.17260274,51,43,19,5,10.2,8.6,3.8,2.08068767,0.908225685
94,Annual,1,Fox Hall,332235,325805,52.825485,-3.007123,Triassic Sandstone,sandy loam,sandy clay loam,2.018181817,1.381575583,282.860178,6.864875403,0.006452804,4.042274964,100208.9119,321.7485015,114.40282,,1979,2014,36,1.780821918,369,365,131,35,10.54285714,10.42857143,3.742857143,0.503681435,0.30934304,,2015,2019,5,0.323287671,53,48,19,5,10.6,9.6,3.8,0.633188006,0.297361603
99,Annual,1,Shawbury Park Wood,355825,319105,52.767714,-2.656152,Permian Sandstone,sand,sand,1.768560025,1.384683127,282.921352,7.456531633,0.006450165,3.969629939,100506.0214,321.9800215,114.0165584,,1999,2014,16,0.216438356,5640,188,63,16,352.5,11.75,3.9375,8.241946345,0.201031591,,2015,2019,5,0.260273973,1716,58,20,5,343.2,11.6,4,8.223402424,0.196932559
107,Annual,1,Ogbourne,419454,172560,51.451688,-1.721421,Chalk,loam,,2.174597428,1.38075297,282.7374794,7.947018429,0.006445066,4.473879459,99604.37418,318.8771182,113.2380395,,1975,2014,40,0.189041096,4828,474,160,40,120.7,11.85,4,8.400530769,2.452006667,,2015,2019,5,0.506849315,1627,55,19,5,325.4,11,3.8,8.978419921,2.425513884
111,Annual,1,Elm Place,576126,301843,52.585849,0.598347,Chalk,sand,loamy sand,1.744605317,1.444629927,283.2223444,7.663905529,0.006505199,4.207078906,101269.4966,320.3691268,115.8587352,,1999,2014,16,1.243835616,144,139,59,15,9.6,9.266666667,3.933333333,9.002000946,0.408812266,,2015,2019,5,0.169863014,56,56,20,5,11.2,11.2,4,9.076623961,0.402199271
116,Annual,1,Figheldean Deep,415687,146780,51.22,-1.776759,Chalk,loam,,2.014362615,1.424034381,283.2196501,7.947018429,0.006603266,3.671803328,100463.0575,320.6973682,121.2747054,,2002,2014,13,0.421917808,135,127,48,13,10.38461538,9.769230769,3.692307692,1.030272324,0.294389177,,2015,2019,5,0.167123288,53,50,20,5,10.6,10,4,1.201903352,0.226168734
117,Annual,1,Figheldean Shallow,415674,146792,51.220108,-1.776945,Chalk,loam,,2.014362615,1.424034381,283.2196501,7.947018429,0.006603266,3.671803328,100463.0575,320.6973682,121.2747054,,2002,2014,13,0.421917808,135,127,48,13,10.38461538,9.769230769,3.692307692,1.45767712,0.284057376,,2015,2019,5,0.128767123,54,51,20,5,10.8,10.2,4,1.59004749,0.232314944
118,Annual,1,High Road Ashton Keynes,404780,193710,51.642166,-1.932313,Oolites,loam,loam,2.04098566,1.39638082,283.1067338,7.673734289,0.006546518,3.802554318,100362.3019,321.166928,116.7559572,,2004,2014,11,0.24109589,3599,121,41,11,327.1818182,11,3.727272727,0.878067417,0.146735877,,2015,2019,5,0.054794521,1789,60,20,5,357.8,12,4,0.825236473,0.173091398
128,Annual,1,Crondall,479475,148665,51.231643,-0.863102,Chalk,loam,,2.077084781,1.371905761,283.1489469,8.204714845,0.006559543,3.546903494,100427.2467,319.5035779,116.6942234,,1971,2014,44,0.797260274,490,483,173,44,11.13636364,10.97727273,3.931818182,6.85239893,1.477062557,,2015,2019,5,0.249315068,56,56,20,5,11.2,11.2,4,6.89139893,1.0597557
131,Multiannual,6.1,Higham Mill,572288,171659,51.41776,0.47634,Chalk,sandy loam,sandy loam,1.675882871,1.406589683,283.4331977,8.253918987,0.006651182,3.798752779,100977.2621,320.205376,117.1574867,,1971,2014,44,0.512328767,399,391,173,44,9.068181818,8.886363636,3.931818182,52.59964645,0.253088584,,2015,2019,5,0.117808219,61,60,20,5,12.2,12,4,52.79588664,0.234137963
136,Multiannual,7.1,Alsa Wood Cottage,552259,226414,51.915438,0.212382,Chalk,sand,sand,1.718641235,1.401428256,282.9642699,7.991563422,0.006438308,3.871555756,100328.6101,318.762553,114.7201774,,1982,2014,33,1.068493151,362,360,126,32,11.3125,11.25,3.9375,34.01884694,1.291887286,,2015,2019,5,0.282191781,53,53,19,5,10.6,10.6,3.8,34.49390271,1.138729282
139,Annual,1,Kenninghall Place,607453,285624,52.42921,1.049995,Chalk,loam,clay loam,1.704617382,1.485919062,283.0498861,7.251334176,0.006482856,5.087388086,100921.7467,318.9897105,116.9533543,,1999,2014,16,0.243835616,182,180,63,16,11.375,11.25,3.9375,7.422413786,0.769611258,,2015,2019,5,0.443835616,36,36,18,5,7.2,7.2,3.6,7.027503834,0.446105295
143,Annual,1,Lullingstone Centre,552677,163876,51.353447,0.191201,Chalk,sandy loam,sandy loam,1.953705505,1.435471289,283.3169798,8.253918987,0.006614807,3.695808452,100730.082,319.7219877,120.8021918,,1993,2014,22,0.547945205,407,230,84,22,18.5,10.45454545,3.818181818,1.468970589,0.539479651,,2015,2019,5,0.263013699,57,57,20,5,11.4,11.4,4,1.242750062,0.276614987
146,Annual,1,Dowlands Tangley,433405,153605,51.280609,-1.522434,Chalk,loam,loam,2.377275046,1.469607151,282.5268553,7.947018429,0.006390855,5.145944961,99111.99364,317.3241098,120.1254007,,1987,2014,28,1.071232877,318,306,107,28,11.35714286,10.92857143,3.821428571,77.98762888,0.838428709,,2015,2019,5,0.17260274,59,59,20,5,11.8,11.8,4,78.32633851,0.471269533
151,Annual,1,Clap Gate Cottage,446155,152255,51.267583,-1.339817,Chalk,loam,,2.233166271,1.448084188,282.9510836,8.220511404,0.006506063,4.35742263,100011.8795,319.1176034,120.0696233,,1971,2014,44,0.668493151,474,456,169,44,10.77272727,10.36363636,3.840909091,16.19496456,3.625217177,,2015,2019,5,0.106849315,62,60,20,5,12.4,12,4,16.85045455,2.999041405
153,Annual,1,Perrotts Brook,401936,206076,51.753367,-1.973348,Oolites,loam,,2.313838229,1.428368229,282.7082877,7.673734289,0.006428007,3.82969871,99620.83849,319.5177208,120.9758078,,1982,2014,33,1.035616438,6131,363,125,33,185.7878788,11,3.787878788,2.346631409,1.759843076,,2015,2019,5,0.468493151,1621,55,19,5,324.2,11,3.8,3.151215878,1.928687534
157,Multiannual,7.1,School Lane,557690,167110,51.381135,0.264566,Chalk,sandy clay loam,clay loam,1.78925704,1.416302547,283.1354138,8.253918987,0.006560487,4.480187996,100371.1814,318.8691916,114.560897,,1981,2014,34,0.347945205,384,362,134,34,11.29411765,10.64705882,3.941176471,74.08408859,0.639867514,,2015,2019,5,0.273972603,56,56,20,5,11.2,11.2,4,73.50408487,0.354584722
164,Decadal,10.7,Vauxhall Road,334360,392220,53.422661,-2.989207,Triassic Sandstone,loam,clay loam,2.158383219,1.401491189,282.9778412,6.868870948,0.006425532,4.667024,101068.2031,322.6097277,110.6703108,,2002,2014,13,0.630136986,4016,138,47,13,308.9230769,10.61538462,3.615384615,23.46320183,0.705873263,,2015,2019,5,0.002739726,1825,60,20,5,365,12,4,24.1067128,0.28786725
170,Multiannual,7.1,Campdenhill Farm,414935,236635,52.027922,-1.783724,Triassic Sandstone,loam,,2.227565083,1.438305365,281.992744,7.986667603,0.006197718,5.337268529,98309.42395,316.3996612,115.7576488,,1994,2014,21,0.471232877,240,234,80,21,11.42857143,11.14285714,3.80952381,3.393494333,0.459823243,,2015,2019,5,0.123287671,59,50,20,5,11.8,10,4,3.571095322,0.35193298
183,Annual,1,Ainsdale High School,331455,412895,53.608095,-3.037443,Triassic Sandstone,loamy sand,loamy sand,2.2837069,1.411823623,282.9746857,6.852420073,0.00640996,4.631767736,101012.06,322.6507883,111.0971296,,1999,2014,16,0.64109589,4757,165,59,16,297.3125,10.3125,3.6875,0.999642612,0.279708862,,2015,2019,5,0.268493151,1707,58,20,5,341.4,11.6,4,1.244255671,0.290003422
198,Annual,1,Oxford,454968,202040,51.714399,-1.205771,Corallian Limestone,clay,clay,1.7210497,1.412398726,283.2315946,7.708993464,0.006540828,3.706314668,100750.094,321.2239135,116.618141,,2001,2014,14,0.526027397,4289,150,53,14,306.3571429,10.71428571,3.785714286,2.425050835,0.25758983,,2015,2019,5,0,1826,60,20,5,365.2,12,4,2.442337557,0.126431167
199,Multiannual,7.1,Wooton Lodge,409685,343975,52.993009,-1.857154,Triassic Sandstone,loam,loam,2.439658453,1.411357882,282.2071892,7.555826268,0.006195341,3.85420268,99361.98417,318.3880253,118.4509153,,1972,2014,43,0.326027397,833,494,171,43,19.37209302,11.48837209,3.976744186,2.719175561,1.110808094,,2015,2019,5,0.175342466,57,51,20,5,11.4,10.2,4,3.626326632,0.48253237
201,Annual,1,Spotted Cow,412835,196695,51.66888,-1.815801,Oolites,loam,loam,1.912979719,1.403504608,283.1594871,7.673734289,0.006552659,3.7825033,100491.2054,321.3671559,116.910008,,2002,2014,13,0.205479452,4379,145,49,13,336.8461538,11.15384615,3.769230769,1.603638623,0.360242204,,2015,2019,5,0.068493151,1801,60,20,5,360.2,12,4,1.555398054,0.273890233
208,Multiannual,7.1,Sharstead Farm,577589,163996,51.347292,0.548667,Chalk,loam,clay loam,1.898566057,1.405465379,283.1529889,7.311773177,0.006590674,4.561122501,100272.4445,318.80493,113.8894462,,1983,2014,32,0.515068493,380,350,126,32,11.875,10.9375,3.9375,65.49250856,2.280326212,,2015,2019,5,0.380821918,56,56,19,5,11.2,11.2,3.8,65.02005367,2.408310336
212,Annual,1,Wetwang,495770,459389,54.021611,-0.539688,Chalk,loam,,1.960165203,1.381704463,282.3758022,7.16409579,0.006246794,4.111521161,100454.7982,318.2670795,115.6072691,,1971,2014,44,1.032876712,8950,502,169,44,203.4090909,11.40909091,3.840909091,20.75688246,3.409785847,,2015,2019,5,0.093150685,1724,60,20,5,344.8,12,4,20.68195661,3.719867137
215,Annual,1,Houndean Bottom,539286,110151,50.874079,-0.021704,Chalk,loam,,2.47571581,1.443485199,283.240235,5.977641657,0.006689419,4.261705712,100466.8661,318.7452858,124.0007757,,1977,2014,38,0.265753425,5658,444,152,38,148.8947368,11.68421053,4,29.65287005,6.394053239,,2015,2019,5,0.032876712,1814,60,20,5,362.8,12,4,29.62754078,6.089974528
216,Annual,1,Northend stud,561311,266770,52.275407,0.362962,Chalk,sandy loam,sandy loam,1.525490741,1.451404563,283.3204449,7.940990308,0.0065208,4.023417982,101298.3783,320.725248,116.3185941,,1999,2014,16,0.257534247,182,177,63,16,11.375,11.0625,3.9375,19.4127575,0.319244486,,2015,2019,5,0.265753425,52,52,20,5,10.4,10.4,4,19.50533992,0.291823486
227,Annual,1,Cissbury Ring,513965,108505,50.864826,-0.381931,Chalk,loam,clay loam,2.317058795,1.398968679,283.0959498,5.977641657,0.006619295,4.946432316,100144.5514,318.0994615,115.5203302,,2002,2014,13,1.161643836,127,120,47,13,9.769230769,9.230769231,3.615384615,94.23012249,0.592365507,,2015,2019,5,0.205479452,53,51,20,5,10.6,10.2,4,94.61800542,0.713774208
230,Annual,1,Granham Farm,418175,167485,51.406099,-1.740086,Chalk,loam,clay loam,2.302259965,1.35042014,282.6096721,7.947018429,0.006413097,3.711029959,99324.95069,318.1957177,115.7668981,,1983,2014,32,0.238356164,741,346,125,32,23.15625,10.8125,3.90625,35.88103936,1.452398937,,2015,2019,5,0.169863014,58,58,20,5,11.6,11.6,4,36.34076922,1.128920451
232,Annual,1,East Preston,507065,102705,50.814006,-0.481634,Chalk,loam,clay loam,2.005536218,1.42941892,283.7219767,5.977641657,0.006803307,4.161818726,101398.7249,320.9558199,119.73562,,1980,2014,35,2.575342466,304,291,125,34,8.941176471,8.558823529,3.676470588,1.884982514,0.544306187,,2015,2019,5,0.15890411,59,59,20,5,11.8,11.8,4,1.878453187,0.415892004
233,Annual,1,Wickham Lane,621914,158529,51.282648,1.180793,Oolites,loam,clay loam,1.847844447,1.419358033,283.634441,6.381855311,0.006812317,4.08692385,101151.4336,321.0925337,119.5254414,,1999,2014,16,0.663013699,1971,175,62,16,123.1875,10.9375,3.875,0.539962587,0.176760723,,2015,2019,5,0.652054795,1588,54,19,5,317.6,10.8,3.8,0.661885175,0.171078392
234,Decadal,10.7,Smelting Mill,406085,343255,52.986589,-1.9108,Triassic Sandstone,loam,loam,2.456703325,1.428395677,282.2868867,7.555826268,0.006219718,3.856660341,99509.68725,318.7985634,119.1476438,,1995,2014,20,0.687671233,193,190,74,20,9.65,9.5,3.7,10.89683882,0.273730771,,2015,2019,5,0.161643836,58,51,20,5,11.6,10.2,4,11.25807341,0.215344482
246,Multiannual,3.6,Serlby Park,463335,389875,53.401896,-1.04886,Triassic Sandstone,sand,sand,1.640192119,1.385449973,282.932083,7.109643148,0.006365517,3.919381647,101279.6934,321.2940055,111.5868703,,1992,2014,23,0.257534247,273,269,91,23,11.86956522,11.69565217,3.956521739,5.832855717,0.275598164,,2015,2019,5,0.17260274,58,56,20,5,11.6,11.2,4,5.852066277,0.128167826
248,Annual,1,Kelleythorpe,501050,457019,53.999313,-0.459914,Chalk,loam,clay loam,1.834660539,1.382858687,282.5697037,6.532711498,0.006306074,4.14082188,100689.3225,319.1179563,114.5225951,,1989,2014,26,1.052054795,304,285,98,26,11.69230769,10.96153846,3.769230769,2.540304806,0.609260611,,2015,2019,5,0.128767123,60,60,20,5,12,12,4,2.484885947,0.621702948
253,Annual,1,Clement Street,554105,170672,51.414123,0.214639,Lower Greensand,sand,loamy sand,1.719806022,1.374889472,283.4253268,8.253918987,0.006634363,3.71834,100970.7894,320.3034212,114.027885,,1972,2014,43,1.449315068,444,432,164,42,10.57142857,10.28571429,3.904761905,8.451493206,0.650959103,,2015,2019,5,0.257534247,51,51,20,5,10.2,10.2,4,8.318978633,0.449319191
263,Annual,1,Gobions Wood,524940,203960,51.720449,-0.192679,Chalk,loam,clay loam,1.824655435,1.435251937,283.011265,7.768495066,0.006463667,4.490149185,100315.4095,319.1329572,113.9487722,,1988,2014,27,0.591780822,288,285,102,27,10.66666667,10.55555556,3.777777778,46.59378729,1.237582393,,2015,2019,5,0.260273973,50,50,20,5,10,10,4,47.2210734,1.088533766
275,Multiannual,7.1,Great Revel End Farm,508420,211120,51.788235,-0.429499,Chalk,sandy clay loam,clay loam,1.907424937,1.468679727,282.8496077,7.768495066,0.006411872,4.48301729,100033.6567,318.7106333,117.6425858,,1986,2014,29,0.6,309,304,111,29,10.65517241,10.48275862,3.827586207,29.54542431,1.737437183,,2015,2019,5,0.290410959,54,54,20,5,10.8,10.8,4,30.93645092,0.890753234
278,Annual,1,Bishopstone Deep,547208,101122,50.790978,0.08719,Chalk,loam,loam,2.082166225,1.36043458,283.5089877,5.778736839,0.006804235,4.267807888,100978.8134,319.8920601,116.6409447,,1991,2014,24,0.378082192,273,260,96,24,11.375,10.83333333,4,7.613153527,0.305614562,,2015,2019,5,0.210958904,58,57,20,5,11.6,11.4,4,7.553092266,0.254328813
284,Annual,1,Sandboils Chalk,455860,117070,50.950362,-1.20616,Chalk,loam,clay loam,2.308520116,1.410587728,283.5274972,6.127476916,0.006701723,3.478918063,101014.1324,320.9103421,121.1502577,,1997,2014,18,0.473972603,211,175,70,18,11.72222222,9.722222222,3.888888889,0.222869337,0.338587029,,2015,2019,5,0.257534247,52,52,19,5,10.4,10.4,3.8,0.143593908,0.292865548
295,Annual,1,Kingston Hill Barn,432275,186275,51.574418,-1.535669,Chalk,loam,clay loam,1.95848067,1.381579745,282.5004681,7.673734289,0.00635977,4.468007342,99130.86685,317.8281833,113.0929833,,1973,2014,42,1.164383562,4803,463,156,42,114.3571429,11.02380952,3.714285714,70.09103386,4.621283182,,2015,2019,5,0.019178082,1819,60,20,5,363.8,12,4,70.97361202,3.681446871
299,Multiannual,7.1,Melbourne House,629311,331030,52.827962,1.402414,Crag,sandy loam,sandy loam,1.78758643,1.470817692,283.0097813,7.174165862,0.006545091,5.435821548,101165.4555,319.0311234,119.03349,,1975,2014,40,1.331506849,1406,383,147,40,35.15,9.575,3.675,3.703053596,0.20469944,,2015,2019,5,0.353424658,1384,50,20,5,276.8,10,4,3.649679419,0.163607589
310,Annual,1,Little Wytherford,356005,320305,52.778515,-2.653646,Permian Sandstone,sandy loam,sandy loam,1.782050212,1.38421004,282.9049468,7.456531633,0.006444834,3.968481372,100479.1403,321.9087178,114.0288246,,1976,2010,35,0.575342466,376,362,132,35,10.74285714,10.34285714,3.771428571,3.245784526,0.185793584,,2015,2019,5,0.123287671,60,53,20,5,12,10.6,4,3.149218923,0.208423381
313,Multiannual,7.1,Wribbenhall,379555,275845,52.380246,-2.301773,Unallocated to aquifers,sandy loam,sandy loam,1.884375145,1.423981505,283.2230152,7.636595673,0.006544249,3.929105843,100927.9832,322.9563858,116.6545871,,1990,2014,25,0.865753425,265,252,95,25,10.6,10.08,3.8,4.834284985,0.55891768,,2015,2019,5,0.22739726,53,43,20,5,10.6,8.6,4,4.831379325,0.356228814
315,Annual,1,Ringmer Gote Farm House,544838,111828,50.887786,0.057817,Chalk,loam,loam,2.351816788,1.333683293,283.4957867,5.778736839,0.006768339,3.527036978,100942.9304,319.9634517,116.4368379,,1971,2014,44,1.202739726,442,418,168,44,10.04545455,9.5,3.818181818,0.724165016,0.543008861,,2015,2019,5,0.150684932,60,60,20,5,12,12,4,0.729677837,0.495626427
