No,Wavelet transform,Period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,Corr
173,Annual,1,Capel Church Farm,625386,140103,51.115864,1.218936,Chalk,silt loam,loam,2.393154433,1.485532175,283.7002456,6.701862052,0.006948768,5.335425042,99610.11471,319.7724384,123.6540026,138.7361755,4.865570545,5.100006104,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,32.40840962,773.3551718,1001,0,,2015,2019,5,0,1826,60,20,5,365.2,12,4,69.22095856,10.54461259,0.769624524
176,Annual,1,Butterbache,342026,365125,53.180041,-2.868906,Triassic Sandstone,loam,clay loam,1.884063526,1.423678133,283.7010402,6.877820409,0.006701128,3.73791492,101197.4331,324.6980757,117.0993482,8.6740942,3.927866459,3.300000191,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.505246127,1179.835327,1,711.869812,,2015,2019,5,0.065753425,1802,60,20,5,360.4,12,4,1.341000858,0.165677762,0.903985013
177,Annual,1,Asthall Barrow Farm,428955,210655,51.793796,-1.58156,Oolites,clay,clay,1.874479737,1.41466859,283.6218576,7.806790904,0.006701196,3.584087332,100098.3191,322.4127155,116.8608451,98.39550781,1.502653718,3.800003052,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,1.782402328,312.0678377,51,0,,2015,2019,5,0.208219178,57,57,20,5,11.4,11.4,4,2.121472722,0.780107639,0.905377449
218,Annual,1,The Lodge Nocton,505345,363625,53.15933,-0.425905,Oolites,loam,clay loam,1.737623218,1.509003752,283.5508383,7.04030681,0.006609659,4.561794994,101020.4452,321.83794,118.7584941,31.95514107,1.283677936,16.20000267,19,37,44,1.409999967,31,31,38,1.330000043,130,0.0005,2.27347357,107.2832133,751,0,,2015,2019,5,0.161643836,60,59,20,5,12,11.8,4,12.59764107,2.269473232,0.765738845
229,Multiannual,7,Rattling Court,623984,153700,51.238485,1.207405,Lower Greensand,sandy loam,sandy loam,2.06818182,1.495717899,284.1827794,6.701862052,0.007028121,4.623345562,100604.444,321.8780204,122.4613366,50.24606705,4.155673981,6.799999237,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,38.37260218,176.5608207,1001,0,,2015,2019,5,0.476712329,47,46,20,5,9.4,9.2,4,28.89181173,1.076963313,0.932776501
236,Annual,2,College Wood,567460,164680,51.356509,0.403685,Chalk,sandy clay loam,clay loam,1.858707561,1.439022573,283.6720275,8.545290384,0.006752663,4.343152255,99882.5199,319.7345254,115.8439486,145.2801208,2.247208357,57.09999847,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,18.64773999,463.2404554,251,0,,2015,2019,5,0.353424658,1600,54,19,5,320,10.8,3.8,113.2744512,0.882755916,0.776876431
238,Annual,1,Pickworth Plain,497435,312335,52.699923,-0.559547,Oolites,clay,clay,1.743756847,1.509396009,283.4353129,8.170701117,0.006566161,4.437164208,100448.0259,321.2236694,118.8052939,80.21742249,1.558400154,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.04442609,74.53048326,101,0,,2015,2019,5,0.161643836,59,59,20,5,11.8,11.8,4,12.73030385,1.706798024,0.792865959
255,Annual,1,Tangmere Road Shallow,490055,105745,50.844228,-0.722265,Chalk,clay,clay,2.099233296,1.451054752,284.4334392,6.336254195,0.007045875,3.386992298,101332.8498,323.3428726,123.5502422,13.30128098,0.494735688,0,49,19,32,1.24000001,47,21,32,1.24000001,100,0.005,22.15679031,547.1137359,1001,0,,2015,2019,5,0.178082192,59,56,20,5,11.8,11.2,4,0.884331827,0.329818924,0.783309669
264,Multiannual,5,Soundess House,471045,187253,51.579665,-0.976102,Chalk,sandy clay loam,clay loam,2.049233299,1.470340541,283.2442582,8.154764635,0.006580623,4.249564207,99274.83763,319.5642603,119.3912903,175.2384186,2.03237772,59.50000763,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,7.647990614,94.25878722,251,0,,2015,2018,4,0.230136986,39,39,15,4,9.75,9.75,3.75,88.16175193,0.983576241,0.670979195
271,Annual,1,Etton Wold House,494609,442896,53.873638,-0.562507,Chalk,loam,,1.992606794,1.442092081,282.9902753,7.297097527,0.006474111,4.628332713,100598.7196,319.3077831,118.2381109,55.20554352,3.371279478,6.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,9.340344288,91.72454819,51,0,,2015,2019,5,0.161643836,58,58,20,5,11.6,11.6,4,34.26123318,3.707547806,0.829237401
287,Multiannual,7,Forstal Farm,624617,160944,51.30327,1.221006,Chalk,loam,loam,1.602245344,1.478737954,284.4584169,6.701862052,0.007083187,3.907532313,101177.6456,323.1032602,122.8454145,3.558632851,7.633376598,3.799999952,21,39,40,1.399999976,21,41,38,1.399999976,520,0.005,43.37214354,112.9018868,1001,0,,2015,2019,5,0.282191781,49,49,20,5,9.8,9.8,4,1.159653259,0.183594995,0.923850953
297,Annual,1,Sleaford 1,506038,345901,52.999932,-0.421382,Oolites,clay,clay,1.705202624,1.50136089,283.6816119,7.961938764,0.006641017,4.527837201,101250.2325,322.4006122,117.1110236,15.44710922,1.230912328,0,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.222917668,290.7896776,751,35.31599426,,2015,2019,5,0.175342466,55,55,19,5,11,11,3.8,1.010745584,0.832473562,0.794983946
302,Annual,1,Ladies Mile,531819,109458,50.8696,-0.128019,Chalk,loam,,2.321193861,1.502602111,283.9113754,6.292935412,0.006929302,4.14421835,100242.3233,320.6242239,127.5791787,91.28765869,9.974733353,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.05959683,1930.27454,1,0,,2015,2019,5,0.024657534,1799,60,20,5,359.8,12,4,67.11031916,4.056137392,0.812769945
303,Annual,1,Summergate Lane,548655,364605,53.157817,0.22184,Spilsby Sandstone,loam,clay loam,1.809419492,1.520360682,283.6525203,6.437349428,0.006677425,4.859092765,101214.1845,321.6319263,119.7478984,4.848472595,1.115942478,0.599999905,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,12.18957628,81.1427191,751,0,,2015,2019,5,0.246575342,57,57,20,5,11.4,11.4,4,0.865841016,0.196178636,0.270598652
311,Annual,1,Hazelwood Cottage,589670,149272,51.211146,0.714129,Corallian Limestone,loam,loam,1.828313254,1.509166751,283.8821058,7.604655088,0.006886554,4.396422273,100109.8072,320.5258706,124.4884452,108.6147919,2.566547394,42,22,42,36,1.399999976,25,41,34,1.379999995,270,0.0006,12.79083825,101.0276796,1001,9.910313606,,2015,2019,5,0.249315068,56,56,20,5,11.2,11.2,4,6.199434757,0.609669009,0.842968565
312,Multiannual,2,Wilsford 2,501015,342715,52.972272,-0.497194,Oolites,loam,,1.744961668,1.44691948,283.4983112,8.170701117,0.006587105,3.744101973,100836.1177,321.6099672,117.9596635,25.83256149,0.650445879,0.099998474,22,42,36,1.399999976,0,0,0,0,130,0.0005,3.813014503,95.0555383,751,0,,2015,2019,5,0.147945205,56,56,19,5,11.2,11.2,3.8,4.720954347,0.129584181,0.692969563
318,Annual,1,Great Shefford,438130,175470,51.476906,-1.452353,Chalk,sandy clay loam,clay loam,1.887623228,1.464691357,283.6811991,8.427272862,0.006737701,3.540311786,100138.5792,322.0197981,122.9732693,106.2253952,1.516220093,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,33.13087035,62.67278141,51,0,,2015,2019,5,0.024657534,1656,55,19,5,331.2,11,3.8,0.431461819,0.205092485,0.869751466
324,Annual,1,Fox Farm,414670,227860,51.949037,-1.787959,Oolites,clay,clay,2.135213585,1.434528754,283.1003729,7.806790904,0.006550985,4.381621449,99154.66361,320.3572311,116.1421263,187.9916992,4.022895813,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,1.452256963,73.43486748,51,0,,2015,2019,5,0.178082192,57,57,20,5,11.4,11.4,4,25.38327815,1.115433657,0.604546692
337,Annual,1,Summerleaze,489058,182936,51.538305,-0.717302,Chalk,loam,clay loam,1.685268352,1.471706063,284.1890378,8.154764635,0.006852447,3.479353149,101147.3766,323.6508913,120.5269664,24.74103546,2.668940067,0.200000763,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,16.17369982,1161.582255,251,0,,2015,2019,5,0.515068493,1477,52,19,5,295.4,10.4,3.8,2.749891418,0.388052214,0.909063802
339,Decadal,14,Terrys Lodge Farm,559006,160641,51.322647,0.280572,Chalk,loam,loam,2.018127052,1.495463938,283.1334236,8.545290384,0.006595446,5.055080217,98801.28777,317.2596959,119.9826211,203.332962,1.637889862,3.300003052,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,13.26200468,336.6891099,1,0,,2015,2018,4,0.189041096,42,41,15,4,10.5,10.25,3.75,83.83581914,0.160672481,0.841607812
340,Multiannual,2,South Cockerington,537245,389465,53.384192,0.062037,Chalk,loam,clay loam,1.824534499,1.491562582,283.491742,6.437349428,0.006641554,4.840703529,101125.7338,321.1367947,119.0382588,15.74083233,0.231082827,4.5,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,13.63466972,167.2594529,751,0,,2015,2019,5,0.257534247,57,56,20,5,11.4,11.2,4,12.35013058,0.207549273,0.569280111
346,Decadal,43,East Curthwaite,333635,548625,54.828028,-3.034555,Triassic Sandstone,loam,clay loam,2.557064615,1.338218101,282.6777579,6.794414089,0.006289922,4.080006891,100500.7108,320.0484911,109.234257,45.44743729,9.546452522,0,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,1.980228504,75.42879576,1,0,,2015,2019,5,0,1826,60,20,5,365.2,12,4,6.205008849,0.278565773,0.838982346
364,Multiannual,7,Sandall Beat,461475,404015,53.529195,-1.074071,Triassic Sandstone,sandy loam,sandy loam,1.712595835,1.480753031,283.4730932,7.170043959,0.00657,4.419124577,101274.2467,322.1704105,117.5154019,7.457140446,0.254066259,0,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,0.00377403,1315.255355,2501,0,,2015,2019,5,0.249315068,56,52,20,5,11.2,10.4,4,3.43142616,0.359259442,0.696045054
381,Annual,1,Valiers Bottom,512910,110750,50.885213,-0.396223,Chalk,clay,clay,2.603340636,1.502724209,283.8864465,6.292935412,0.006893327,4.137378198,100199.4919,320.6354557,126.8594576,96.44393158,2.618602753,2.699996948,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,16.62384726,317.5120003,1001,0,,2015,2019,5,0.260273973,1670,58,20,5,334,11.6,4,32.84680767,6.76412652,0.906379849
399,Annual,1,Shillingthorpe 1,507365,311205,52.687893,-0.413026,Oolites,loam,,1.672343918,1.476979978,283.8286724,7.961938764,0.006677504,3.716057688,101249.8243,322.8918221,118.8973681,15.30923462,0.550636232,0,22,42,36,1.399999976,0,0,0,0,184,0.02,5.621647872,151.1581076,101,0,,2015,2019,5,0.252054795,52,52,19,5,10.4,10.4,3.8,1.317311543,1.141264546,0.704177376
413,Annual,1,Aunsby,505145,339485,52.942455,-0.436765,Oolites,clay,clay,1.704052573,1.449774582,283.651397,7.961938764,0.006631101,3.76100468,101134.5315,322.2334961,117.4486844,31.08219147,1.286149383,9,48,23,29,1.25,45,26,29,1.25999999,184,0.02,2.655440775,82.79085124,751,0,,2015,2019,5,0.189041096,56,56,20,5,11.2,11.2,4,15.1495129,2.646960178,0.795135903
423,Multiannual,7,Woolbeding Pound Common,487395,125045,51.018146,-0.755415,Lower Greensand,sand,sand,2.565388828,1.533344336,283.4428729,8.449890581,0.006713387,4.921697022,99452.1603,319.1166541,124.9901054,157.72229,3.684126377,60.29999542,4,87,9,1.730000019,4,88,8,1.74000001,270,0.0006,14.27648075,89.74661279,1001,0,,2015,2019,5,0.317808219,53,53,20,5,10.6,10.6,4,45.12096925,0.314108729,0.860432241
430,Decadal,14,Southend Goxhill,510715,420895,53.672796,-0.325534,Chalk,loam,clay loam,1.820481926,1.483912476,283.3885038,6.699781022,0.006597035,4.703248396,100994.0522,321.0319975,119.0032084,9.41047287,0.741170585,4.599999905,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,13.91468617,105.9411123,1001,0,,2015,2019,5,0.175342466,57,57,20,5,11.4,11.4,4,6.648543045,0.39731749,0.819004236
466,Annual,1,Riseholme,498905,375335,53.265787,-0.51856,Oolites,clay,clay,1.96796276,1.50186307,283.4131241,7.722836944,0.006570603,4.546591345,100915.2369,321.3234575,119.3613356,34.18956757,1.059941888,0,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,1.732160791,785.8742157,751,0,,2015,2019,5,0.167123288,58,58,20,5,11.6,11.6,4,4.477153777,0.702547852,0.721922502
469,Annual,1,Blacketts Farm Chalk,594729,165259,51.353025,0.795175,Chalk,loam,clay loam,1.427984667,1.478998777,284.4440673,7.604655088,0.0070091,3.723200375,101287.3597,323.1458637,121.7037163,11.02864838,2.164262295,7.600000381,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,29.25463235,472.3144148,251,0,,2015,2019,5,0.364383562,1564,54,19,5,312.8,10.8,3.8,10.27694659,0.873362636,0.602016363
489,Annual,1,Longwood Owslebury,454185,123415,51.007572,-1.229059,Chalk,loam,clay loam,2.429299012,1.468317219,283.9459437,8.427272862,0.006862216,4.215283427,100451.3832,321.9770367,120.2406212,76.91307068,5.249445438,7.200004578,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,45.85805783,170.0734679,1,91.70322418,,2015,2019,5,0.18630137,58,58,20,5,11.6,11.6,4,18.6796224,4.980199952,0.910311144
512,Annual,1,Heighington,503035,368725,53.205608,-0.458798,Oolites,clay,clay,1.787787516,1.490931404,283.4942869,7.04030681,0.006593652,4.555213832,100949.8384,321.631046,117.4116053,26.23924255,1.988454461,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,1.028843694,375.922739,751,0,,2015,2019,5,0.183561644,58,58,20,5,11.6,11.6,4,7.771311516,0.129810985,0.712300214
516,Annual,1,Elloughton,493890,428182,53.741561,-0.577921,Triassic Sandstone,sandy loam,sandy clay loam,1.906900327,1.422433468,283.3325683,7.297097527,0.006562089,3.845743162,101166.1534,320.9788366,118.2875301,14.42639828,0.28071928,8.300000191,10,76,14,1.580000043,26,60,14,1.409999967,184,0.02,1.476537494,294.0039892,51,5204.772949,,2015,2019,5,0.15890411,59,59,20,5,11.8,11.8,4,6.426906755,3.745585163,0.575165837
518,Annual,1,Odstock,414140,126240,51.035346,-1.799709,Chalk,loam,,2.283734937,1.479027575,284.16594,8.146276078,0.00694144,3.575214903,100858.8017,323.8201163,124.524115,59.83287811,2.743944407,14,19,37,44,1.409999967,0,0,0,0,550,0.015,6.279547803,426.6252984,51,0,,2015,2019,5,0.134246575,54,53,20,5,10.8,10.6,4,11.81084107,0.679169917,0.906835408
519,Decadal,14,East Dean Down,556409,97729,50.758082,0.216189,Chalk,loam,clay loam,2.215388828,1.428057384,283.9890021,6.103997887,0.007048068,4.913731312,100341.5343,320.883338,120.4487486,80.96086121,7.732772827,26.90000534,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,10.86125166,757.8031024,1,0,,2015,2019,5,0.254794521,53,53,20,5,10.6,10.6,4,72.83048385,0.156686952,0.839985263
523,Annual,1,Dunston Heath,504835,362615,53.150355,-0.43386,Oolites,clay,clay,1.749342822,1.510346323,283.4968235,7.04030681,0.006593583,4.554683789,100900.8408,321.5965379,119.1945069,38.90504074,0.788397908,13.29999924,48,23,29,1.25,45,26,29,1.25999999,130,0.0005,3.356184094,103.8321772,751,0,,2015,2019,5,0.17260274,57,57,20,5,11.4,11.4,4,15.32188285,0.223293984,0.585986072
524,Annual,1,Mamhead Bottom,292214,80512,50.614327,-3.524827,Permian Sandstone,loam,clay loam,2.788280398,1.57913369,283.567099,6.870865304,0.006926241,5.544881944,98885.43197,322.4452376,133.7257773,209.2644043,16.08118248,94.8999939,19,37,44,1.409999967,31,31,38,1.330000043,30,0.14,4.260831168,247.6885997,51,0,,2015,2019,5,0.106849315,1706,60,20,5,341.2,12,4,23.49952421,0.794056774,0.802437451
534,Multiannual,7,Westerley,505649,194842,51.642459,-0.474588,Chalk,loam,loam,1.787842281,1.478305498,284.0397052,7.941128241,0.006792634,3.501646172,100879.0901,322.7833433,121.2268798,69.5762558,2.572648048,22.80000305,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,30.69705609,1084.283055,101,0,,2015,2019,5,0.189041096,54,54,20,5,10.8,10.8,4,23.00829284,0.264087385,0.694805465
547,Annual,1,Brightwalton Holt,443980,177743,51.496919,-1.367842,Chalk,silt loam,loam,1.933187295,1.503840154,283.4639305,8.427272862,0.006669004,4.285347325,99709.32907,320.9354997,122.4316511,131.804718,1.996718884,0,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,28.9140785,53.09990584,51,0,,2015,2019,5,0.249315068,1659,58,20,5,331.8,11.6,4,19.63674059,3.663664281,0.82822594
565,Annual,1,Southfields Road,503815,102495,50.812709,-0.527809,Chalk,loam,clay loam,1.986746987,1.496735436,284.4914817,6.336254195,0.007083312,4.129627951,101444.8107,323.4125509,123.4087576,7.867632866,0.632261038,1.099999905,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,21.43753448,1247.430158,1001,0,,2015,2019,5,0.18630137,57,57,20,5,11.4,11.4,4,5.011843392,0.362737871,0.814078885
574,Annual,1,Wildhern,435355,151255,51.259362,-1.494709,Chalk,loam,,2.131599123,1.500137326,283.6008673,8.427272862,0.006737569,4.286395782,99864.42347,321.2722478,123.0680143,126.3532867,1.9591856,12.00000763,19,37,44,1.409999967,0,0,0,0,550,0.015,34.44516392,304.5084898,1,0,,2015,2019,5,0.109589041,60,60,20,5,12,12,4,36.4277867,3.694591283,0.837334329
579,Multiannual,7,Wenderton,624809,158620,51.282331,1.222294,Chalk,loam,clay loam,1.715334059,1.458862866,284.4111188,6.701862052,0.007077364,3.898282157,101076.5236,322.9013797,121.7513541,32.43898773,0.824574351,30.70000076,22,41,37,1.399999976,29,37,34,1.350000024,520,0.005,42.01033244,117.847334,1001,0,,2015,2019,5,0,1826,60,20,5,365.2,12,4,30.43943753,0.115583885,0.775953992
586,Annual,1,Shalden Manor,469505,141905,51.172167,-1.007179,Chalk,sandy clay loam,clay loam,2.355093098,1.453919913,283.4285066,8.427272862,0.006684387,4.204864701,99467.84865,319.6573402,120.3525675,180.5866852,1.745035648,54.8999939,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,31.55244568,305.6661161,501,0,,2015,2019,5,0.246575342,54,54,20,5,10.8,10.8,4,54.59631483,0.715080837,0.86829772
597,Annual,1,Damgate Lane 2,640912,309568,52.630347,1.558531,Crag,clay,clay,1.688773275,1.619110138,283.9503611,6.690909165,0.006808363,5.664456283,101333.691,321.11402,124.6777841,0.210019529,0.078775592,0.899999976,49,19,32,1.24000001,47,21,32,1.24000001,400,0.075,111.3888525,114.6117346,1001,0,,2015,2019,5,0.191780822,57,57,20,5,11.4,11.4,4,0.345809003,0.343357761,0.916186014
603,Decadal,14,Heath End,458205,162865,51.361874,-1.165388,Chalk,sandy loam,loamy sand,1.927327488,1.494517869,283.7886039,8.427272862,0.006769544,4.242946927,100285.7436,321.9508089,120.6785893,105.1357346,0.778166413,13.5,6,75,19,1.629999995,7,79,14,1.629999995,100,0.005,21.01959152,233.8611061,51,0,,2015,2019,5,0.265753425,1670,57,20,5,334,11.4,4,51.17590143,0.672830579,0.180608201
637,Decadal,14,Dummer Village,458855,146055,51.210672,-1.158818,Chalk,loam,loam,2.335158815,1.454591264,283.5492684,8.427272862,0.006716571,4.228516424,99734.25546,320.5191862,118.8540999,161.1767578,0.484552354,16.29998779,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,34.07260984,362.7019291,1,0,,2015,2019,5,0.109589041,62,60,20,5,12.4,12,4,61.13933845,1.361694788,0.9077671
668,Multiannual,7,East Street,630368,158751,51.281287,1.301951,Lower Greensand,loam,clay loam,1.722343919,1.533869043,284.4587503,6.701862052,0.007104951,4.701737134,101161.2201,323.1262347,123.9973465,17.46027374,4.017651558,13.80000019,22,41,37,1.399999976,29,37,34,1.350000024,90,0.001,46.5037704,161.4271932,1001,0,,2015,2019,5,0.169863014,57,57,20,5,11.4,11.4,4,6.934133389,0.625708733,0.814142198
669,Annual,1,Caudle Common,586092,303080,52.59364,0.745969,Chalk,loam,clay loam,1.868236582,1.531000823,283.7828214,7.787020949,0.006692396,4.211911876,100966.6338,321.115654,122.3355726,31.33539009,4.945590973,3.20000267,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,56.52101026,61.57651643,5001,0,,2015,2019,5,0.249315068,49,49,19,5,9.8,9.8,3.8,0.964573763,0.379343346,0.860882322
681,Annual,1,Spridlington,498975,383875,53.342512,-0.514851,Oolites,clay,clay,1.777437022,1.488810614,283.4024734,7.722836944,0.006570212,4.559959455,100967.1245,321.2812526,118.4331414,34.40812683,1.562202454,6.300001144,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,10.27159739,68.06278907,751,341.5582581,,2015,2019,5,0.317808219,56,56,20,5,11.2,11.2,4,10.36848397,1.354692854,0.754869191
682,Annual,1,Victoria Park,637412,152312,51.220602,1.398502,Chalk,loamy sand,sandy loam,1.95536692,1.524698448,284.5235342,6.701862052,0.007170162,4.730522808,101267.1685,323.5420541,124.6702291,5.834472656,0.702054858,2.400000095,10,82,8,1.590000033,17,75,8,1.5,550,0.015,48.55513486,760.4183308,1001,0,,2015,2019,5,0.490410959,1645,55,19,5,329,11,3.8,5.133488436,0.136076996,0.470161545
683,Annual,1,Waltham Well Cottage,610938,148896,51.200317,1.017972,Chalk,sandy clay loam,clay loam,2.225082146,1.504297068,283.6933331,6.701862052,0.006873713,4.51205554,99631.38072,319.6009327,126.0505392,145.4871521,0.782675683,49.50000763,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,25.14424588,109.0240691,1001,0,,2015,2019,5,0.167123288,59,59,20,5,11.8,11.8,4,94.49867752,8.357818995,0.87339584
697,Annual,1,Barbury Castle,414545,176455,51.486856,-1.791907,Chalk,loam,clay loam,2.161336258,1.464407372,283.0395706,8.146276078,0.006568057,5.121868007,98814.51724,319.4049378,116.8609777,222.8627625,6.852643013,43.80000305,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,19.4122403,134.8419339,51,0,,2015,2019,5,0.145205479,59,59,20,5,11.8,11.8,4,67.03377945,5.413200029,0.895192527
700,Annual,1,Tillington,496055,122035,50.989707,-0.632785,Lower Greensand,sandy loam,sandy loam,2.339868563,1.522081691,283.9705022,6.336254195,0.006878533,4.156813747,100432.0186,321.4420958,125.9756617,64.92463684,3.034227371,48.40000153,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,6.246655208,56.4955544,1001,7.126821995,,2015,2019,5,0.167123288,58,58,20,5,11.6,11.6,4,8.800154081,0.425372747,0.858204705
