No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
519,7,6,6,9,8,5,2,3,5,3,6,6,1,0,6,5,6
523,4,9,0,9,2,1,3,9,1,9,8,6,9,8,9,4,5
524,9,7,4,7,5,7,0,1,3,5,3,9,2,5,4,9,5
534,1,7,6,0,4,4,0,2,2,5,4,4,2,6,1,2,2
547,5,7,3,7,5,9,2,6,0,0,0,2,9,2,3,3,4
565,6,2,8,2,0,7,0,7,4,8,8,2,0,9,9,7,5
574,0,0,5,4,1,3,5,6,5,8,7,4,5,1,3,0,7
579,7,1,7,0,4,9,0,8,1,5,0,8,6,4,0,6,2
586,7,9,5,0,3,8,5,4,6,5,0,9,4,8,7,0,8
597,7,8,7,5,2,6,5,6,9,5,9,3,1,5,0,7,2
603,6,8,4,7,2,8,5,4,5,1,4,7,6,0,2,0,2
637,4,1,5,4,1,4,2,8,8,1,9,1,9,3,4,9,6
668,4,3,4,8,4,3,8,1,5,0,2,5,6,7,6,4,4
669,8,4,5,7,3,1,2,9,4,1,2,5,7,5,0,7,5
681,8,8,5,7,0,5,7,0,4,9,1,6,4,7,9,6,4
682,0,5,7,6,4,2,5,2,3,5,2,4,7,4,2,3,2
683,2,9,3,4,1,0,1,6,6,7,9,9,1,6,5,7,2
697,3,6,5,9,4,0,9,1,0,8,3,5,9,3,4,7,9
700,8,6,6,1,2,1,3,8,3,7,1,0,2,9,7,5,4
701,0,8,2,6,1,8,3,2,8,2,1,0,7,1,8,8,4
743,1,3,0,7,5,0,8,4,0,6,0,0,5,4,8,7,9
748,7,0,4,0,3,4,1,6,8,4,5,2,4,1,4,5,8
751,6,7,0,7,8,3,2,7,5,7,1,6,6,5,0,7,2
767,7,9,7,5,1,3,8,1,9,8,6,3,8,8,5,7,9
785,8,7,4,4,8,7,5,8,0,9,8,0,5,6,0,3,8
800,4,5,0,8,6,1,0,6,7,3,2,4,8,7,6,8,9
821,7,0,8,9,9,7,2,4,4,2,5,0,5,1,7,6,1
829,0,7,8,8,5,6,3,0,9,3,5,4,8,7,8,7,6
834,8,9,0,3,5,8,5,2,0,9,6,1,0,7,2,6,5
839,9,5,2,2,3,5,3,9,8,8,8,0,3,9,9,8,0
841,2,5,4,5,0,2,0,2,1,3,7,8,6,0,2,2,5
845,0,0,5,1,2,8,3,2,3,9,7,5,2,4,9,0,6
848,6,2,3,7,4,5,8,3,4,4,5,0,4,5,1,4,9
859,5,8,4,7,3,2,5,8,1,0,7,6,2,2,9,4,4
874,6,0,6,9,4,9,8,1,5,8,9,2,5,1,8,2,7
875,8,7,7,0,0,4,2,0,4,8,4,7,1,3,0,3,1
890,7,9,7,5,0,3,7,4,0,2,9,7,2,4,1,9,2
900,4,1,1,2,8,5,1,8,6,7,7,4,0,8,0,6,3
901,7,0,8,4,0,7,0,4,4,9,9,2,5,7,1,2,8
902,1,7,7,5,1,5,3,4,0,6,6,3,3,7,1,6,0
912,2,9,3,5,9,2,3,6,3,8,2,3,5,8,4,7,1
933,7,4,0,7,4,4,9,9,6,8,1,6,7,6,2,1,3
947,2,6,1,3,8,5,1,5,1,3,7,6,2,9,3,6,3
948,1,2,9,0,8,1,6,5,4,6,9,4,5,2,5,3,6
951,1,9,2,3,7,1,8,8,2,9,5,6,0,4,7,2,8
954,8,6,9,5,3,5,4,1,0,2,5,8,0,4,1,6,9
976,0,9,3,0,4,2,2,2,2,1,8,6,9,2,8,8,0
983,3,5,4,3,3,4,5,2,3,8,2,9,0,1,4,8,6
999,5,2,3,7,9,2,0,0,7,2,5,7,9,2,6,4,5
1000,4,1,0,1,7,7,9,0,9,6,2,2,2,3,7,5,5
1004,3,3,3,1,6,9,0,1,9,6,4,4,6,6,1,7,0
1006,0,4,2,1,5,4,6,0,7,9,9,6,4,0,0,4,3
1016,3,5,7,7,0,0,3,3,9,0,5,2,9,1,1,4,8
1028,4,3,3,3,5,3,9,5,4,9,3,3,5,8,8,5,4
1041,6,1,5,9,6,7,4,8,8,3,9,5,5,7,5,2,4
1045,6,1,6,7,1,0,5,0,0,1,5,0,7,6,3,2,4
1062,2,6,1,6,6,7,5,1,1,8,4,8,6,4,7,8,0
1064,8,0,8,1,4,7,5,3,3,8,5,6,6,1,0,1,9
1074,7,7,8,7,1,5,6,6,3,6,8,3,7,4,6,4,1
1089,5,3,6,2,2,9,9,8,0,1,6,4,7,9,0,9,3
1092,2,7,3,0,4,7,8,7,2,0,5,6,7,3,9,8,4
1108,6,9,4,4,7,0,4,4,3,6,6,7,5,4,4,5,1
1116,9,1,1,2,4,6,0,3,3,1,1,1,6,8,9,8,2
1119,5,0,9,4,2,2,7,7,7,5,7,5,1,5,6,0,0
1120,5,8,3,2,3,3,1,0,4,6,6,5,3,8,6,1,1
1121,3,5,3,7,4,7,6,9,9,3,7,7,5,6,0,7,9
1127,5,9,5,6,9,6,1,4,6,2,8,9,1,0,3,1,3
1137,2,1,6,0,1,4,7,2,1,5,4,2,0,7,0,9,0
1148,8,2,6,1,9,2,8,9,9,9,1,9,7,0,4,1,1
1162,5,0,4,1,1,3,1,5,6,5,2,4,2,5,5,6,5
1163,4,5,5,0,9,3,3,6,2,3,5,8,2,5,0,1,1
1172,6,0,4,7,0,8,0,3,3,0,4,6,9,9,9,3,2
1173,6,8,5,0,6,5,0,0,0,7,3,2,1,4,1,2,9
1184,0,9,0,4,8,2,7,2,7,7,7,0,9,3,0,5,9
1188,4,0,2,8,5,9,7,5,4,8,9,9,7,1,2,9,1
1205,2,6,1,3,4,2,7,0,9,5,6,6,8,9,6,7,8
1213,3,4,6,7,8,4,5,4,2,1,2,3,6,0,5,0,4
1225,5,4,7,0,5,4,6,2,4,6,4,6,4,9,6,0,8
1230,1,1,3,3,7,5,0,8,6,2,8,3,4,5,2,1,2
1241,3,8,8,4,9,5,7,4,9,7,3,2,7,0,2,6,5
1247,1,7,5,0,5,7,5,8,4,6,9,8,8,5,7,5,0
1248,0,1,7,2,1,3,4,5,8,3,0,9,6,2,2,3,4
1263,6,1,0,5,8,2,8,7,6,3,6,4,5,9,6,9,0
1275,3,2,1,8,9,7,6,2,9,8,8,5,5,3,2,2,9
1278,6,8,3,9,8,1,5,3,1,0,0,0,2,8,7,0,7
1281,7,6,9,0,7,4,7,5,3,6,5,0,2,9,4,4,6
1283,6,0,9,9,8,4,7,7,6,4,7,3,3,5,0,7,9
1287,7,4,2,9,9,3,8,4,0,4,2,2,9,0,2,6,5
1288,6,8,9,1,8,7,0,1,7,5,7,8,8,9,0,6,8
1297,0,9,8,9,6,9,8,1,0,9,0,6,5,0,9,7,9
1305,5,2,5,8,7,2,8,8,1,9,5,2,8,6,7,0,1
1316,1,5,8,5,8,0,4,0,3,4,7,4,3,6,7,0,0
1319,7,4,1,6,1,4,8,9,6,4,6,9,5,7,5,1,2
1328,9,8,1,9,9,9,6,5,8,3,8,2,8,9,3,1,9
1336,0,2,1,8,2,7,3,5,6,5,0,4,5,5,5,3,1
1341,8,0,8,0,8,0,4,7,6,9,7,4,6,4,5,8,5
1343,7,5,8,7,1,7,5,3,1,8,9,1,6,7,2,5,8
1345,5,7,8,3,3,9,4,0,5,4,9,5,5,5,6,9,1
1346,4,2,6,8,4,3,5,4,7,3,4,9,9,0,8,5,4
1355,5,1,5,9,2,5,2,8,7,8,5,0,4,6,7,8,5
1361,5,9,5,6,7,9,4,6,1,3,6,3,2,9,4,4,6
1364,0,1,8,6,2,9,4,0,7,9,3,1,4,5,6,1,5
1377,1,6,5,7,5,8,0,3,8,7,6,3,9,6,0,0,2
1384,0,6,9,9,1,8,8,7,4,9,1,7,9,9,2,7,8
1386,5,1,9,6,8,4,8,9,4,5,3,0,3,4,7,1,1
1388,1,7,1,6,4,4,5,3,4,4,1,0,3,1,0,0,3
1393,7,6,4,9,7,6,7,6,2,8,0,7,4,8,7,5,2
1420,6,9,5,8,8,7,4,0,6,2,5,6,7,7,1,9,0
1437,5,7,2,3,2,5,2,3,4,5,2,2,9,4,9,5,0
1440,2,0,9,6,0,7,6,7,3,1,8,9,7,2,2,8,0
1443,8,0,1,3,3,2,5,8,3,1,8,3,9,1,9,3,1
1452,9,0,6,9,1,1,6,2,3,7,9,5,3,3,7,4,0
1458,1,0,3,1,2,7,0,7,0,2,6,4,7,3,4,6,4
1461,4,6,9,9,4,5,4,1,4,1,6,4,3,1,0,6,5
1465,3,3,7,8,1,9,2,5,8,2,5,0,1,9,2,4,8
1466,3,1,6,3,4,4,1,2,0,4,4,1,8,3,0,0,4
1470,6,3,4,2,8,7,2,5,2,1,1,9,3,6,3,0,7
1491,1,6,2,8,0,7,5,6,5,5,1,5,4,6,3,9,3
1501,3,1,7,9,2,1,5,2,8,6,1,6,0,5,4,0,2
1536,6,8,5,7,4,3,6,5,4,3,1,0,9,7,2,8,1
1559,2,4,7,7,4,3,1,5,8,3,2,5,9,6,2,3,9
1563,1,9,3,8,8,9,5,7,2,1,9,0,6,0,4,8,8
1565,7,9,3,0,1,4,3,3,4,0,1,1,6,2,6,7,5
1570,1,4,1,6,7,0,8,5,7,8,4,6,5,1,2,0,4
1608,5,7,3,0,8,5,1,6,5,7,8,7,0,8,0,4,4
1609,2,8,5,4,6,4,5,8,6,2,2,4,2,7,0,8,1
1633,3,1,2,0,1,5,4,1,3,0,8,2,2,6,3,2,1
1638,1,4,1,0,4,8,1,3,4,1,3,0,8,9,0,1,6
1640,1,5,9,9,2,3,3,0,8,4,7,5,2,6,7,8,6
1648,3,6,3,1,9,4,8,9,1,1,0,6,2,4,7,7,7
1669,6,0,9,7,6,4,8,3,6,4,0,5,8,0,3,1,4
1690,3,7,7,6,2,9,2,7,6,7,0,7,9,2,9,8,7
1719,2,2,4,4,2,8,5,0,6,6,1,7,4,7,9,3,0
1722,8,3,0,9,2,6,1,9,6,5,3,5,5,4,3,3,0
1726,8,3,8,2,8,4,0,7,9,7,7,1,7,8,2,5,2
1744,0,9,6,9,4,9,2,2,8,7,5,1,6,6,4,2,5
1755,8,0,6,0,1,9,4,8,7,1,8,7,1,2,5,9,2
1767,6,8,3,2,9,8,5,9,3,2,4,8,9,4,7,2,8
1768,5,6,8,9,3,3,1,5,7,9,2,7,4,4,4,5,8
1777,0,4,4,6,2,9,6,5,5,6,4,0,6,2,4,0,8
1783,1,1,0,8,8,2,1,3,6,6,2,9,7,2,5,2,4
1790,2,8,6,5,1,8,8,8,5,3,4,3,3,8,0,6,2
1804,9,2,3,8,5,4,6,6,0,0,3,3,2,5,3,4,1
1814,3,6,7,7,5,7,9,3,3,9,9,7,9,6,0,9,6
1822,6,7,4,3,3,3,5,7,7,2,7,5,0,9,4,3,1
1827,5,7,4,4,5,8,7,8,2,2,9,5,2,6,6,2,6
1831,4,6,9,1,3,8,6,2,7,1,4,2,5,6,8,5,4
1832,7,6,9,7,0,1,3,0,0,6,0,2,0,6,2,3,1
1841,5,8,3,7,5,6,7,7,0,5,3,3,7,3,3,2,4
1846,9,0,1,1,7,6,8,8,7,7,2,8,7,2,6,6,6
1853,6,2,6,0,1,4,4,9,1,7,6,4,4,3,6,8,7
1869,1,9,1,7,7,1,8,5,5,1,9,6,1,7,1,8,2
1872,6,3,5,2,6,5,4,6,5,0,3,3,8,9,0,6,1
1876,1,0,0,0,7,4,5,5,4,8,8,7,7,8,9,7,4
1877,2,7,4,5,1,6,5,1,2,2,4,0,5,5,2,1,0
1902,9,3,1,0,6,7,6,2,1,8,0,5,0,4,8,0,6
1924,4,1,0,8,4,2,5,1,1,2,5,4,1,3,0,9,5
1927,3,9,6,1,5,0,2,7,8,5,1,8,2,6,3,1,9
1931,1,3,1,2,3,5,2,4,9,3,8,0,0,0,9,6,0
1936,2,2,1,2,8,8,7,8,3,4,3,6,8,6,3,9,9
1946,9,7,6,9,6,8,8,0,0,9,5,8,3,2,1,5,0
1953,0,1,0,2,1,0,5,9,3,6,2,9,1,0,2,4,1
1957,3,2,3,9,4,4,9,2,8,6,1,6,6,1,6,9,1
1965,1,3,3,1,9,2,5,7,8,1,8,5,5,8,7,8,5
1975,3,8,6,8,6,5,2,6,2,7,6,9,7,7,8,9,1
1986,0,6,2,5,7,0,6,0,3,4,4,4,7,5,5,0,5
1989,9,3,6,4,5,2,5,2,4,6,4,7,6,7,9,5,6
1994,5,3,8,5,5,3,7,8,5,0,0,6,7,7,0,3,3
2000,2,5,2,8,6,2,2,5,1,0,5,1,4,1,6,2,0
2030,0,5,6,9,6,0,3,8,9,2,8,8,9,3,0,1,2
2058,0,0,3,9,5,1,5,9,9,3,3,0,5,0,5,9,3
2060,2,5,0,7,1,6,4,6,8,8,1,2,7,5,5,9,9
2066,7,6,8,0,1,9,0,5,4,7,3,1,7,7,6,7,0
2070,9,8,0,4,3,9,2,6,5,0,7,2,8,4,6,6,4
2077,7,2,7,7,7,3,3,9,6,9,6,0,2,1,5,7,9
2104,8,6,5,2,1,4,1,7,4,6,5,3,5,8,9,8,1
2127,7,5,7,0,3,8,2,9,4,2,1,1,5,1,1,6,0
2145,2,3,2,4,2,1,8,3,1,1,3,8,0,2,8,8,4
2155,8,2,4,7,4,1,1,2,1,9,3,1,1,8,6,5,2
2168,9,6,2,9,8,0,6,7,4,0,3,8,7,1,0,6,2
2172,0,0,8,9,4,6,6,7,1,8,7,8,2,4,9,6,6
2173,0,5,0,4,0,9,5,3,2,3,9,7,7,3,0,9,0
2174,1,6,4,2,0,3,3,1,9,5,3,0,5,8,1,8,6
2175,3,5,6,8,5,1,3,2,2,8,6,3,0,9,6,2,7
2177,5,0,7,8,8,0,8,0,0,8,2,9,1,0,4,9,3
2183,2,2,3,9,1,5,9,1,8,4,7,6,8,9,3,0,1
2185,0,7,8,3,1,9,0,4,3,4,8,1,1,4,0,5,8
2214,2,6,8,6,2,8,6,0,1,7,4,6,3,9,9,2,3
2218,6,3,6,9,8,8,4,5,0,0,6,8,6,5,7,3,0
2223,1,6,4,3,1,1,4,2,6,9,9,2,2,0,2,2,2
2224,2,8,8,1,3,4,5,6,4,5,1,4,8,1,9,9,5
2226,6,8,1,4,2,7,6,4,4,4,1,0,2,5,0,3,6
2234,4,9,4,7,1,2,0,0,0,3,1,7,4,7,1,5,1
2236,9,0,2,7,4,1,6,6,4,9,3,2,8,7,3,0,3
2241,9,9,0,4,2,7,2,7,6,0,3,9,8,8,5,2,4
2246,6,6,8,8,4,1,8,7,4,8,3,8,3,5,4,9,7
2261,1,9,3,8,1,5,8,0,0,8,3,4,0,9,4,2,5
2273,7,2,3,6,1,8,0,6,1,8,0,8,8,0,0,0,3
2284,0,1,0,3,3,0,2,6,3,8,9,5,3,9,2,9,2
2298,8,8,7,8,1,9,5,2,9,9,8,2,0,4,7,5,6
2300,1,3,6,9,1,0,4,3,4,2,4,7,9,1,6,9,5
2326,3,0,9,3,6,7,7,5,9,8,4,6,2,7,0,0,5
2327,6,1,4,4,9,2,1,9,2,0,3,0,2,3,8,7,3
2331,3,6,2,5,7,6,1,2,3,7,6,6,3,5,2,5,9
2357,0,8,8,2,3,3,7,4,6,6,3,2,9,9,9,5,8
2361,2,5,2,6,3,3,6,2,9,1,4,5,2,5,2,2,4
2363,6,9,9,4,4,1,9,6,4,1,0,1,2,0,9,6,0
2378,1,2,0,9,7,0,6,9,3,3,6,0,2,9,3,3,2
2385,3,2,4,1,9,0,7,0,6,8,3,2,3,0,8,2,4
2398,5,8,7,0,8,1,3,2,6,4,3,0,0,3,5,2,7
2406,4,5,2,3,7,1,3,7,0,0,8,6,7,4,6,5,7
2412,0,2,4,6,3,6,9,3,6,6,5,8,4,6,6,7,3
2415,2,3,4,0,7,3,5,8,9,8,7,6,6,8,2,5,7
2416,9,0,3,2,5,5,8,6,0,4,1,2,3,1,2,2,8
2425,5,9,3,8,2,9,3,3,1,2,3,9,5,0,1,5,5
2434,0,0,4,7,0,6,4,9,4,6,6,7,5,1,2,3,3
2439,0,5,0,2,0,8,9,9,4,6,8,5,5,7,0,1,2
2447,9,0,0,0,3,4,9,1,9,5,3,7,7,9,4,7,8
2449,5,6,5,7,6,1,1,0,1,5,0,3,1,4,8,1,6
2462,1,7,7,7,3,1,1,3,5,4,3,2,8,7,4,0,0
2472,5,5,1,8,3,1,7,4,1,0,9,5,2,9,2,2,4
2474,0,1,8,3,0,8,6,5,7,6,6,5,5,8,0,0,5
2516,9,1,4,0,7,7,8,4,6,9,4,8,6,3,9,9,3
2521,8,4,0,3,2,6,6,1,8,1,2,4,7,0,0,4,8
2522,8,3,2,5,2,2,4,1,0,9,9,6,7,3,7,1,2
2537,3,9,7,9,7,7,6,4,6,6,5,7,1,6,5,4,8
2542,4,1,2,2,5,5,2,2,1,8,3,8,4,0,5,0,3
2553,8,4,2,1,6,1,7,4,3,3,2,9,0,2,4,6,9
2570,2,2,7,2,0,0,5,5,5,2,7,1,8,0,8,4,0
2608,5,7,1,9,4,1,3,3,1,8,2,5,3,2,4,4,8
2610,0,2,5,9,2,2,9,4,4,6,7,6,9,9,6,0,1
2615,5,0,7,1,5,7,1,5,4,1,2,7,9,5,8,1,8
2617,6,9,4,0,0,6,4,9,4,4,6,4,6,2,3,4,2
2618,5,4,0,9,4,0,3,5,4,6,4,4,4,8,8,3,2
2629,4,5,2,1,6,6,5,7,0,4,1,7,3,0,4,9,5
2631,8,4,2,9,5,7,6,6,0,1,8,9,6,0,5,4,9
2654,5,2,8,7,9,2,6,5,5,4,7,2,3,8,3,2,2
2663,0,6,5,6,6,1,1,0,3,4,4,1,7,5,5,0,8
2664,9,7,3,9,8,6,2,8,3,5,7,6,6,0,3,1,4
2674,3,9,5,0,9,5,3,9,9,7,8,4,8,6,0,2,0
2699,6,9,5,6,2,2,1,7,0,5,2,5,3,9,7,4,0
2717,0,2,5,3,7,2,1,2,1,7,6,0,3,9,9,0,5
2719,3,6,0,5,1,9,2,6,9,0,5,3,0,1,1,5,1
2720,9,2,5,7,3,4,2,3,2,4,8,1,6,4,9,9,2
2727,1,4,7,7,3,4,3,6,7,8,8,4,7,3,4,8,1
2730,7,1,0,1,6,0,9,6,0,5,6,6,8,4,7,2,0
2738,1,3,0,6,2,2,7,6,4,6,3,1,7,7,8,0,6
2751,6,9,9,8,7,6,1,3,2,9,3,1,3,5,3,9,5
2752,0,2,3,8,8,5,5,7,5,9,6,8,5,6,7,0,3
2757,9,1,4,0,9,0,3,4,8,8,5,8,1,8,7,9,3
2760,3,4,8,1,6,5,6,4,8,2,1,4,8,5,7,6,1
2763,3,9,6,9,8,3,4,3,4,8,7,4,7,4,0,3,9
2787,9,8,2,8,3,5,3,5,7,1,3,5,0,9,1,2,4
2790,5,5,8,9,0,0,1,5,3,0,3,7,8,2,8,9,4
2796,3,6,4,4,6,0,9,4,1,3,6,0,8,9,5,5,6
2802,8,6,6,4,9,8,3,4,9,2,0,0,9,7,5,2,8
2806,0,9,2,6,3,9,8,1,6,3,6,5,4,4,1,3,1
2812,3,0,4,5,6,4,4,2,6,0,3,4,0,8,2,1,7
2847,9,4,7,6,8,2,5,3,9,1,7,5,3,3,3,1,1
2848,0,2,5,3,2,5,9,1,3,8,0,2,6,5,7,7,4
2865,2,2,4,1,4,9,9,9,3,9,3,6,6,9,5,6,4
2867,2,8,6,9,4,4,7,0,6,8,7,8,0,8,7,1,5
2871,3,1,6,0,3,4,7,7,2,1,2,2,6,7,3,0,8
2880,6,9,0,7,7,2,9,9,9,7,8,1,1,3,3,2,5
2885,5,2,1,7,4,3,3,4,1,6,6,8,8,6,4,8,7
2886,5,4,5,5,5,6,5,0,0,0,0,8,8,1,6,3,9
2901,6,7,7,9,0,8,1,3,1,4,4,6,5,2,3,6,4
2910,4,6,6,2,2,6,4,5,4,6,8,0,1,3,5,3,1
2915,8,3,7,9,4,7,5,4,2,5,0,5,7,4,8,5,1
2919,4,4,4,9,8,4,1,6,9,3,3,0,8,3,6,6,8
2930,3,2,2,4,9,6,3,5,8,1,4,6,2,1,1,8,2
2938,4,1,5,0,2,8,3,3,7,7,5,3,6,0,7,5,6
2945,8,9,2,2,3,9,0,0,4,4,3,9,1,5,8,7,2
2948,2,0,3,4,1,5,4,5,4,9,1,8,7,0,9,6,5
2972,4,7,9,9,7,6,2,3,5,5,9,9,6,7,4,1,0
2981,6,8,9,3,5,6,0,5,5,6,0,9,9,1,1,9,4
2989,1,8,1,6,3,3,4,7,4,9,4,3,8,0,1,0,7
2993,3,8,7,9,7,4,6,9,6,4,8,7,8,8,9,3,5
3066,9,1,2,0,2,5,1,0,0,1,6,4,9,6,7,7,1
3067,3,7,3,5,6,4,1,4,1,8,3,5,4,1,0,3,4
3077,9,9,1,5,3,9,1,1,3,1,6,5,0,6,1,4,1
3078,8,2,7,7,7,7,1,2,8,3,1,1,0,5,7,2,1
3087,9,0,5,6,0,6,3,7,9,6,9,0,8,4,5,4,3
3091,0,7,7,5,9,8,1,1,6,4,7,3,5,8,2,9,4
3128,3,2,9,4,6,7,6,1,8,0,2,9,5,7,1,7,2
3136,6,3,4,1,9,4,3,2,9,8,4,5,3,0,6,7,1
3249,7,5,4,4,3,7,7,8,0,0,7,6,3,3,5,3,0
3251,7,3,7,7,3,3,6,5,8,2,3,3,4,4,0,6,6
3360,3,2,6,0,6,9,8,0,6,9,0,5,5,6,7,6,1
3361,2,5,0,7,8,2,9,9,9,5,9,5,8,8,4,5,2
3372,6,9,5,7,2,8,3,1,1,4,6,5,4,6,7,1,9
3378,9,8,2,7,2,2,1,4,0,4,0,7,8,5,4,2,3
3416,5,2,1,3,7,6,0,0,4,3,0,7,6,3,4,6,6
3438,7,2,0,5,2,7,2,2,0,9,1,5,6,0,8,3,8
3445,4,8,1,8,0,4,3,4,2,5,2,2,8,3,8,0,7
3447,2,7,7,6,9,7,9,7,3,7,4,0,7,4,2,6,5
3469,8,1,4,1,5,1,6,0,5,9,8,4,4,6,3,3,6
