No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
170,223.177536,4.186089993,0,22,42,36,1.399999976,0,0,0,0,20,0.0015,4.617745516,89.72379056,501,0
183,12.58535576,1.128607273,3.699999809,6,79,15,1.659999967,6,79,15,1.659999967,33,0.01,3.890955407,967.4226659,1,859.6873169
198,61.6640625,1.743529677,0,49,19,32,1.24000001,51,18,31,1.230000019,700,0.0005,6.364006219,1296.275839,251,0
199,117.265274,22.43667221,0,22,42,36,1.399999976,25,41,34,1.379999995,33,0.01,0.193519238,76.27861278,51,0
201,77.45097351,1.90690434,2.5,19,41,40,1.419999957,19,44,37,1.419999957,0.1,0.06,0.698360077,102.2323306,251,0
208,77.01148224,1.07695508,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,20.99154549,2323.999256,251,0
212,42.91136932,2.166847944,3.299999237,19,37,44,1.409999967,0,0,0,0,550,0.015,12.49834141,36.34496131,51,0
215,39.60405731,5.538887501,0,19,37,44,1.409999967,0,0,0,0,550,0.015,8.541541122,355.4582339,1,83.046875
216,27.78457069,3.071474552,20,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,49.22736176,337.0170208,5001,0
227,128.1636658,5.773172379,40.90000153,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,19.05303409,897.953891,1001,0
230,165.2292175,3.182320356,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,20.92693362,160.3575095,51,0
232,7.614554882,0.125360832,0.700000286,24,47,29,1.389999986,34,39,27,1.330000043,550,0.015,21.63607317,1581.954882,1001,0
233,5.79953146,0.209874511,1.899999619,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,39.74744827,195.4747745,1001,0
234,109.832901,31.67957115,0,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,0.342651929,135.2234448,51,0
246,11.50585938,4.294807911,0,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,0.220188851,222.9472379,2501,0
248,19.38921928,0.258103907,1.700000763,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,16.69321431,148.3573323,51,0
253,22.91054726,0.499783307,0,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,11.64140807,1362.177435,1,0
263,110.5442734,4.990694523,29.09999847,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,28.83197276,683.1850395,101,0
275,127.1229324,2.813300133,11.40000153,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,30.84269048,797.5709818,101,0
278,8.557402611,4.328362465,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,11.71584538,732.0786994,1,0
284,30.26263237,3.686888218,0,19,37,44,1.409999967,31,31,38,1.330000043,520,0.005,46.46935319,247.4097858,101,0
295,203.5362396,0.626265943,17,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,21.10739165,72.85110005,51,0
299,17.10412979,1.85874331,4.700000763,11,80,9,1.570000052,19,72,9,1.480000019,400,0.075,98.26214746,252.6477799,1001,28128.38281
310,63.30538559,2.48537755,3.200000763,9,77,14,1.600000024,17,67,16,1.480000019,30,0.14,0.881883815,78.52236149,1001,0
313,35.30760574,4.092895031,3.799999237,10,75,15,1.580000043,15,68,17,1.50999999,30,0.14,1.007688316,878.0579674,251,0
315,22.56301117,1.283045888,1.900001526,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,2.993495964,245.9796552,1,0
328,0.807346106,0.156971052,0.5,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,4.659315238,127.2376673,2501,0
334,74.31488037,0.448367774,0,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,20.22135305,159.8698208,51,0
341,4.519355297,3.794411659,0,21,39,40,1.399999976,21,41,38,1.399999976,33,0.01,0.280319648,106.6328754,251,0
343,110.2136612,5.429123878,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,29.98477362,62.45016797,51,0
344,18.97187424,0.975905776,3.700000763,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,71.51354397,59.80272818,5001,0
352,94.55975342,1.816493988,12.70000458,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,1.262120573,209.216954,1001,0
357,80.40840912,3.812104464,1.899993896,19,37,44,1.409999967,0,0,0,0,550,0.015,40.66985296,93.507419,1,0
365,15.57534409,0.82957226,0,9,80,11,1.600000024,22,68,10,1.450000048,0.1,0.02,14.87463534,131.9030205,751,0
366,14.74739456,0.721139789,2.199999809,9,80,11,1.600000024,22,68,10,1.450000048,0.1,0.02,14.99186046,134.0513054,751,0
367,20.8289299,1.751345158,9.699999809,9,80,11,1.600000024,22,68,10,1.450000048,0.1,0.02,15.06340768,124.9738445,751,0
369,18.5412426,0.337021559,2.599998474,9,78,13,1.600000024,23,64,13,1.429999948,0.1,0.02,14.78657318,107.8357307,751,0
372,15.38433552,1.381528258,13.50000095,10,82,8,1.590000033,17,75,8,1.5,550,0.015,46.73096157,129.179411,5001,0
375,163.1639099,2.385558128,40.00000763,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,32.46010018,92.45910653,51,0
382,38.00640869,2.889840126,11.20000076,4,87,9,1.730000019,4,88,8,1.74000001,75,0.05,30.76528695,87.05778363,251,0
385,138.9803925,0.808099985,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,33.07525359,90.07322585,51,0
394,16.70097733,1.009135365,3.400000572,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,2.042599387,67.90283002,251,0
395,0.519332051,0.477496058,0,40,20,40,0.275924206,27,47,26,0.282238722,400,0.075,109.0285002,124.8036082,1001,0
397,81.86170959,1.673288703,19.8999939,19,37,44,1.409999967,0,0,0,0,550,0.015,33.16884987,654.7802013,1,0
404,-0.626980543,0.168305218,0.399999976,49,19,32,1.24000001,47,21,32,1.24000001,400,0.075,110.1630898,119.937709,1001,0
408,42.43677902,11.71886349,15.30000114,54,22,24,1.230000019,44,34,22,1.279999971,550,0.015,32.38028443,791.7629537,101,523802.5938
409,211.9088745,3.35795331,28.80000305,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,25.3451062,36.89665216,51,0
421,5.384476662,1.013658166,2.299999714,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,3.827292356,129.0978367,51,0
425,78.35467529,3.559056759,14.1000061,5,89,6,1.700000048,5,89,6,1.700000048,30,0.14,1.304997051,75.46989286,1001,0
445,154.7189484,1.212004066,7.900009155,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,15.027078,632.0047297,1,0
447,72.47563171,1.953407645,26.69999695,19,45,36,1.419999957,27,39,34,1.360000014,33,0.01,1.249333258,111.6222095,101,17.41145897
460,115.5661316,0.730939806,9.5,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,60.2206241,76.44172174,1001,0
467,146.2315216,3.235126019,6.800003052,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,20.72758718,155.8186848,51,0
473,23.68450737,1.391286016,6,10,82,8,1.590000033,17,75,8,1.5,33,0.01,1.092191798,61.90922163,251,0
476,85.54277039,0.514302075,0,22,42,36,1.399999976,25,41,34,1.379999995,520,0.005,25.86123708,543.8728815,101,1918.977539
479,33.49882889,0.414654613,4,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,55.13639767,108.2565561,5001,0
480,102.8194199,5.609148026,13,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,36.57953766,147.6304416,101,0
481,54.3529892,0.504333079,29.90000153,22,42,36,1.399999976,25,41,34,1.379999995,260,0.01,0.526383154,193.1515843,501,0
490,158.4697418,2.372224331,21.20001221,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,37.44265743,88.45793184,1,0
494,13.35249996,0.221325278,5.600000381,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,49.96676794,128.8474127,5001,3945.994873
498,14.97536755,6.597689152,14.60000038,7,85,8,1.649999976,7,84,9,1.649999976,33,0.01,3.680077336,688.1714774,101,1094.307739
503,88.97563934,0.945330322,6.400001526,49,19,32,1.24000001,51,18,31,1.230000019,100,0.005,22.75608531,1083.374575,1001,0
504,91.68016815,1.052223563,11,19,37,44,1.409999967,0,0,0,0,550,0.015,22.10314239,88.38141192,1,0
510,1.85598433,0.500571251,0,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,1.632606395,188.862605,2501,0
514,94.61988831,6.547657013,4.699996948,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,5.922877409,113.6664202,251,0
522,130.534729,5.211822033,8.599998474,19,37,44,1.409999967,0,0,0,0,550,0.015,25.2966164,87.21154546,51,0
533,121.1842804,3.630132914,3.400001526,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,28.5522708,53.73756267,51,5.540248871
535,111.644722,2.121057272,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,32.55478227,56.69932685,51,0
540,45.61492538,6.542411804,16.70000076,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,33.20653855,791.5704916,101,2948.8125
546,36.35668564,1.667419672,30.79999924,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,59.45885787,484.6976649,251,0
548,44.08988571,2.618712664,7.800003052,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,0.845438066,167.6196124,1001,0
564,183.6378021,1.904853344,23.6000061,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,19.23293983,209.2389652,51,0
569,132.8582611,5.613492012,27.79999542,24,48,28,1.399999976,34,41,25,1.330000043,520,0.005,29.45375981,149.566452,51,0
581,34.8279686,3.499176264,1.900001526,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,14.22887441,62.12879628,101,0
585,57.36269379,1.99897182,0,54,22,24,1.230000019,44,34,22,1.279999971,100,0.005,18.4436087,210.3992603,1001,219.1993256
593,125.2258301,2.647252083,3,19,37,44,1.409999967,31,31,38,1.330000043,184,0.02,2.131199874,108.6218746,51,0
594,3.019832134,0.672449768,1.999999881,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,1.717115872,600.0238292,2501,1756.585571
595,13.42694473,7.417674065,4.800000191,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,0.299342121,497.2546264,2501,2875.316406
598,92.32580566,0.839964747,5.5,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,7.899101121,72.94099869,1001,21.65989685
608,172.5652924,6.6125741,30.69999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,28.06078116,227.1395577,1,0
609,92.28624725,1.56784296,4,19,41,40,1.419999957,19,44,37,1.419999957,0.1,0.06,3.881100423,163.6254393,251,0
610,79.3381958,3.433442116,48.89999771,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,12.61601635,137.0156069,51,331.2395935
615,85.3473587,0.381733477,29.30000305,19,37,44,1.409999967,31,31,38,1.330000043,16,0.00004,0.333663092,223.4938131,501,0
618,155.3448792,0.779788315,1.199996948,19,37,44,1.409999967,0,0,0,0,550,0.015,13.08982211,47.28354223,51,0
625,92.72994995,9.320672035,6,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,1.007358939,101.2598926,1001,963.333252
627,32.83959961,5.746098042,6.000001907,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,15.01582685,2305.606555,1,0
631,26.61187363,2.068614244,5.199998856,4,87,9,1.730000019,4,88,8,1.74000001,550,0.015,46.76085944,63.23317628,1001,0
639,118.8628387,4.033800602,4.899993896,24,47,29,1.389999986,34,39,27,1.330000043,550,0.015,23.44031011,283.5496768,251,0
642,98.79566193,2.225594282,28.09999847,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,11.15315119,55.9365988,101,0
646,18.27195358,1.793856978,7.600000381,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.17046665,144.6422477,51,118.453125
648,67.78804016,0.644217849,0,19,37,44,1.409999967,0,0,0,0,550,0.015,7.85532203,60.94634177,51,326.53125
657,103.2339554,1.386307359,3,20,42,38,1.409999967,20,45,35,1.419999957,33,0.01,0.896270748,734.7883097,1001,0
661,31.81477737,2.008157015,5.800001144,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,49.94848495,145.1860869,5001,0
663,94.94390869,2.257261992,4.900001526,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,0.361569003,647.7060364,251,0
664,53.98159409,1.267273307,11.40000153,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,3.016984748,626.6111722,51,108108.1797
666,7.200245857,1.095646024,3.900000334,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,21.72087656,2134.102691,1001,0
678,106.1113281,2.164698362,10.5,9,77,14,1.600000024,17,67,16,1.480000019,20,0.0015,1.5977943,87.44241194,51,0
679,141.2170258,4.614554882,9.900009155,5,90,5,1.710000038,8,87,5,1.629999995,33,0.01,1.754752788,354.838272,251,0
680,97.26789093,2.155403852,11.59999847,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,0.507381347,847.3477484,1,0
684,84.10964966,1.321807861,30.80000305,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,5.611007832,288.7819269,51,0
687,6.41206646,0.684981883,1,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,3.547902102,224.0116843,51,0
690,3.926679611,0.69535321,0,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,51.53270867,511.5756333,1001,0
702,80.15976715,0.131170928,5.699996948,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,53.70086457,53.61539872,1001,0
709,156.6808929,7.2409935,6.600006104,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,25.31795385,208.4883938,101,0
710,78.42441559,0.084516384,4.099998474,19,45,36,1.419999957,27,39,34,1.360000014,0.1,0.06,2.654283117,132.733198,51,0
711,77.65643311,2.584362745,0.899993896,19,37,44,1.409999967,0,0,0,0,550,0.015,2.593172441,353.0976433,101,428.0833435
717,75.81097412,0.587736845,1.600006104,22,42,36,1.399999976,25,41,34,1.379999995,0.1,0.06,2.396403253,126.2516351,251,0
719,46.28410339,1.233706594,0,10,81,9,1.590000033,23,67,10,1.440000057,550,0.015,59.93571137,30.1002305,1001,1985.223022
725,44.9877243,1.28063035,5.900001526,21,39,40,1.399999976,21,41,38,1.399999976,100,0.005,29.74131844,1253.030684,101,0
734,89.87503815,3.488032818,16.29999542,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,54.03012973,245.4958838,5001,0
737,20.93717957,2.007177353,9.600000381,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,1.61347698,57.62744579,251,57.73958206
739,48.78324127,1.019212723,23.60000229,8,76,16,1.610000014,8,76,16,1.150323987,550,0.015,54.91569087,124.7592273,5001,13875.83301
745,112.1908951,1.272776127,8,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,40.44165394,75.20337096,1,323.7802734
746,36.13990021,0.559446454,7.900001526,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,4.352954397,82.15152641,1,0
750,51.0389061,2.757305145,14.29999924,19,45,36,1.419999957,27,39,34,1.360000014,550,0.015,67.06232614,284.717091,1001,0
752,31.34250069,1.418153644,11.99999809,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,10.60895361,59.58638701,51,3073.374023
762,39.56718445,2.450745344,4.900001526,19,37,44,1.409999967,0,0,0,0,130,0.0005,4.409345371,95.93705853,51,0
768,108.1365662,5.97275877,13,19,37,44,1.409999967,31,31,38,1.330000043,184,0.02,2.519601438,76.78066244,251,0
769,81.01083374,2.706865788,4,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,0.044718539,54.73335412,1001,0
779,27.86746216,1.36724937,0.200000763,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,6.114642445,59.24053916,51,0
783,74.29995728,2.898566484,16.60000229,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,22.23398519,1304.739508,251,0
786,78.72499084,0.341239542,3,19,45,36,1.419999957,27,39,34,1.360000014,0.1,0.06,1.599296066,130.2168448,251,0
801,130.9153137,2.418182135,31.40000153,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,15.88869595,145.7490284,51,0
813,41.11271667,0.471231937,4.399997711,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.166645869,1066.681227,101,0
814,97.71122742,2.543733358,3.900001526,19,37,44,1.409999967,0,0,0,0,550,0.015,13.41239013,178.4716516,51,0
816,74.39199066,1.020208001,1.5,19,45,36,1.419999957,27,39,34,1.360000014,0.1,0.06,4.00277147,152.7777447,251,0
819,115.2714081,12.85370922,5.400001526,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,22.00320059,119.1646506,51,0
825,125.4695282,3.389561892,17.40000153,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,25.35315055,174.6075427,251,0
831,21.79026985,5.231495857,1.799999237,9,77,14,1.600000024,17,67,16,1.480000019,33,0.01,3.725720824,53.70144044,251,0
833,29.76581192,4.057991505,19.80000114,5,89,6,1.700000048,5,89,6,1.700000048,33,0.01,2.988105589,309.8462162,51,0
835,10.32230854,0.25000909,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,37.99466094,288.7508259,1001,0
836,10.49419594,0.371400893,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,37.99410646,288.6226589,1001,0
837,77.50005341,4.83494854,10.09999847,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,18.68824068,1446.256253,51,0
840,46.08796692,3.000210047,0,10,75,15,1.580000043,15,68,17,1.50999999,33,0.01,0.110234031,1276.273598,501,36336.15625
856,153.2779846,3.453789473,7.199996948,24,48,28,1.399999976,34,41,25,1.330000043,20,0.01,10.05063628,59.823258,1,0
861,27.8012886,5.625906944,9.600000381,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,71.2730254,100.4924611,5001,8.77319622
865,73.50700378,4.684915066,0.099998474,19,37,44,1.409999967,0,0,0,0,550,0.015,31.14291858,642.9133648,1,0
870,77.1333847,3.250163555,34.90000153,9,77,14,1.600000024,17,67,16,1.480000019,75,0.05,26.6989247,73.63705273,251,0
871,22.5427742,0.388129622,3.600000381,24,47,29,1.389999986,34,39,27,1.330000043,550,0.015,15.83675045,118.6723237,51,0
873,108.977951,3.031821012,9.200004578,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,2.630493155,212.9803408,51,0
895,121.2497711,2.62139535,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,28.30368775,60.91964193,51,0
903,118.200325,3.774055243,27.19999695,19,37,44,1.409999967,0,0,0,0,550,0.015,34.73472705,487.903101,1,0
906,73.32284546,0.66105175,1.200004578,51,17,32,1.220000029,52,19,29,1.230000019,0.1,0.06,4.488604095,155.0005802,251,0
913,33.8973999,1.469320297,3.399999619,19,37,44,1.409999967,0,0,0,0,550,0.015,27.06837319,64.90042246,1,0.004970312
926,65.72549438,0.450166017,0,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,19.19145372,210.8570841,51,0
944,102.0892258,0.550595462,4.599998474,19,37,44,1.409999967,0,0,0,0,550,0.015,30.83749979,312.6566533,501,31303.64648
946,100.652565,2.316289663,21.3999939,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,15.89371063,229.0141614,1001,82.30786133
956,31.55267906,2.176720619,23.29999924,22,41,37,1.399999976,29,37,34,1.350000024,90,0.001,38.23127175,210.7514253,1001,0
960,158.6656189,4.761864662,37.00000763,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,3.447651804,91.1504568,51,0
962,3.720308781,0.623661339,0,21,39,40,1.399999976,21,41,38,1.399999976,33,0.01,9.414013815,166.084657,751,0
963,31.79355431,2.149077177,6.799999237,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,15.53642233,120.5875856,51,1591.418335
967,133.158371,4.093994141,37.40000153,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,22.6132067,68.22033929,1001,0
973,34.00492096,0.551792443,2.899999619,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,67.86141654,68.63298563,5001,0
975,90.70995331,3.877815962,3.099998474,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,1.537194134,54.35413316,1001,0
977,29.52817154,25.47060776,30.29999924,22,41,37,1.399999976,29,37,34,1.350000024,260,0.01,0.514961508,172.0717627,501,54823.16016
978,88.02688599,1.690190554,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,29.52047977,150.0278408,1,0
989,20.56355476,0.672048986,1,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,54.51524126,120.4650381,5001,0
991,11.47546959,4.014831066,3.699999809,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,26.77729474,539.6837227,251,56796.68359
1005,64.09438324,9.231119156,34.39999771,11,80,9,1.570000052,19,72,9,1.480000019,550,0.015,35.77086512,726.4306108,101,0
1009,68.07831573,1.567851543,2.199996948,5,89,6,1.700000048,5,89,6,1.700000048,30,0.14,0.375673412,77.6870882,1001,60.67718887
1013,65.82968903,1.966069579,13.69999695,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,0.709354384,76.48555505,101,13.62312412
1018,132.2684937,2.096538782,23.69999695,48,23,29,1.25,45,26,29,1.25999999,184,0.02,5.386044587,123.511315,51,0
1026,30.62462997,0.615640998,4.800001144,9,77,14,1.600000024,17,67,16,1.480000019,0.1,0.02,0.662529179,34.34434886,751,0
1027,52.02031708,1.613611221,4,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,4.686984572,335.7865376,101,0
1032,120.9054108,2.158306599,0,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,18.56207921,348.1356988,101,0
1040,200.876709,2.75449872,72.90000916,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,14.86827645,185.7587979,51,28313.95117
1044,136.4006805,1.947810292,25.80001068,54,22,24,1.230000019,44,34,22,1.279999971,550,0.015,47.01186855,87.10273694,101,0
1049,62.39092255,1.075425267,9.100002289,22,41,37,1.399999976,29,37,34,1.350000024,15,0.05,0.60188182,112.2334733,101,0
1055,115.6938248,3.503037453,10.90000153,10,75,15,1.580000043,15,68,17,1.50999999,33,0.01,2.3694888,223.6184611,1001,0
