No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
278,5,0,8,7,3,0,4,0,9,5,5,9,1,8,0,1,1
284,9,0,7,4,5,9,6,1,9,8,2,8,8,7,3,4,2
295,0,1,7,0,0,8,1,5,0,2,3,6,1,0,3,7,2
299,4,9,3,4,2,8,1,2,2,4,9,0,3,0,8,1,3
310,5,3,1,6,0,1,9,3,7,9,1,5,3,2,5,4,3
313,7,8,3,1,5,5,1,8,0,1,2,6,7,5,0,6,2
315,8,1,2,2,3,6,2,7,8,6,0,5,9,8,5,6,9
328,5,6,0,3,7,4,8,8,7,9,1,1,5,0,3,5,1
334,9,8,0,8,8,3,9,9,8,5,1,0,5,3,2,7,9
341,8,5,9,9,2,8,2,0,6,4,9,3,5,0,8,2,7
343,3,9,9,7,9,4,3,7,5,4,9,4,2,6,2,1,1
344,6,4,1,9,1,2,1,3,9,3,1,2,0,0,8,7,2
352,8,9,5,5,3,4,3,4,8,6,0,6,9,4,6,7,5
357,9,3,4,9,8,0,4,9,6,6,3,3,9,4,2,4,6
365,5,4,6,4,3,0,0,4,6,7,3,8,8,9,0,3,9
366,9,3,0,2,4,3,6,0,9,6,2,4,2,9,5,9,6
367,1,9,8,9,0,7,0,3,9,0,5,9,9,2,0,1,5
369,5,0,6,6,3,4,6,8,8,2,9,3,1,7,6,1,6
372,0,8,9,3,2,8,7,9,7,8,0,4,6,0,7,0,0
375,4,3,4,5,6,2,7,8,5,9,6,5,8,9,9,0,6
382,2,4,2,2,4,8,3,9,2,1,4,3,5,2,1,5,0
385,5,4,2,8,7,9,3,6,6,1,9,7,9,4,6,5,4
394,6,0,3,0,5,8,2,8,6,5,0,1,4,1,8,7,7
395,2,0,2,3,9,7,1,8,0,2,7,8,2,0,4,9,8
397,8,2,7,8,1,8,6,1,8,6,0,9,0,6,4,1,6
404,0,9,2,1,7,4,4,3,3,5,3,0,1,5,6,8,2
408,7,1,8,2,3,6,4,4,4,2,0,7,4,9,0,2,7
409,0,8,0,9,4,7,4,8,6,6,9,8,5,8,3,0,1
421,1,0,6,8,0,2,3,9,2,2,1,9,4,1,4,5,8
425,6,2,3,9,5,9,2,1,2,6,5,9,6,4,9,8,5
445,0,4,8,3,0,6,7,5,6,6,2,4,0,6,1,3,7
447,5,3,3,5,6,5,8,6,9,8,7,0,7,3,5,7,5
460,6,5,7,2,5,7,9,1,3,6,5,3,1,8,4,8,8
467,5,8,2,0,2,7,1,4,2,6,9,7,3,1,1,1,8
473,7,6,2,3,0,5,5,6,1,1,7,7,3,2,1,7,7
476,3,1,1,5,6,3,2,8,5,2,0,1,5,7,9,3,8
479,9,4,5,4,3,3,7,9,9,6,7,6,2,1,3,7,6
480,8,9,4,3,1,6,6,4,9,3,1,4,6,6,9,7,1
481,0,0,5,5,6,9,2,6,8,4,0,8,2,5,3,6,5
490,2,7,7,4,2,3,6,7,2,3,6,9,7,6,3,2,2
494,9,7,1,0,8,7,5,7,8,6,5,4,2,8,0,3,1
498,8,6,4,6,1,6,7,3,1,9,1,4,0,8,0,4,0
503,0,5,2,6,2,3,8,7,9,2,2,4,5,3,5,0,2
504,1,6,6,2,0,4,3,3,5,5,4,1,8,2,4,8,6
510,0,8,4,2,1,0,8,0,0,3,2,4,4,8,5,3,3
514,1,5,4,8,6,6,3,8,5,6,7,9,1,0,8,2,2
522,3,5,6,0,3,3,7,2,8,1,9,9,0,7,0,9,6
533,0,8,6,1,3,9,5,7,2,2,9,2,9,3,0,1,4
535,8,0,6,6,0,7,5,4,6,4,5,2,6,1,5,2,2
540,1,3,7,8,2,4,7,9,5,1,6,1,4,1,5,0,9
546,4,9,9,5,9,5,2,8,0,8,6,8,4,8,8,1,1
548,8,6,2,6,6,2,9,9,4,1,0,6,5,3,7,8,4
564,4,2,9,0,8,5,9,6,7,8,1,3,6,6,7,8,8
569,1,5,2,8,1,0,1,9,6,2,8,4,3,1,9,2,9
581,3,2,6,3,1,5,0,3,9,7,2,3,8,4,2,3,3
585,1,0,8,6,3,4,0,3,5,6,5,1,2,4,9,8,0
593,6,3,1,4,6,2,2,0,8,7,0,4,6,2,9,7,9
594,9,6,6,4,3,9,6,5,7,0,0,3,8,9,6,2,2
595,0,9,0,0,0,8,4,5,6,0,6,5,5,5,9,5,6
598,2,4,2,1,4,0,9,1,6,1,0,6,0,7,0,1,7
608,5,2,4,3,3,2,9,9,7,4,6,9,5,3,6,8,8
609,0,3,0,3,5,8,0,9,5,1,5,0,0,0,2,0,4
610,8,4,0,1,8,6,0,3,5,4,5,1,5,1,7,1,8
615,6,2,2,5,9,2,9,7,7,7,3,1,7,3,7,4,4
618,1,3,3,3,4,4,2,1,4,4,5,2,4,7,6,8,2
625,9,8,8,1,7,7,3,7,0,3,5,0,9,1,5,0,8
627,1,0,4,9,5,3,9,1,1,8,7,6,4,3,1,8,2
631,2,7,9,4,1,3,3,1,7,6,4,0,6,2,0,6,4
639,1,6,7,3,8,9,2,0,6,0,2,8,9,9,5,2,0
642,6,2,7,9,5,0,2,2,7,5,8,4,3,5,4,6,3
646,0,8,6,4,3,6,0,7,8,8,4,3,8,7,3,3,2
648,1,0,2,2,8,1,1,6,3,4,7,2,4,0,7,1,1
657,7,6,6,6,5,2,6,5,7,8,7,1,2,9,0,5,1
661,8,7,4,9,3,4,7,1,5,2,0,6,6,8,6,8,9
663,8,2,9,4,4,5,5,5,4,5,2,3,7,1,8,7,8
664,0,9,9,3,8,3,7,7,1,3,9,5,4,7,4,2,1
666,3,4,7,7,0,2,5,6,5,4,7,1,2,4,0,2,0
678,4,5,7,4,4,3,9,5,2,9,6,4,2,8,5,6,0
679,0,0,9,3,7,9,4,1,8,2,9,3,6,8,2,3,8
680,4,3,2,4,4,7,4,4,7,7,8,9,5,2,6,9,0
684,4,7,8,1,2,5,5,2,2,3,9,9,3,9,5,5,6
687,4,2,2,6,6,8,7,8,5,0,2,7,0,8,7,7,4
690,4,5,3,4,4,5,2,4,5,4,4,2,6,8,1,4,8
702,9,7,1,7,6,8,9,5,5,8,0,9,7,1,3,2,3
709,9,6,7,5,8,0,0,0,4,4,3,4,1,6,0,0,2
710,1,1,0,0,1,7,5,5,3,3,7,8,6,3,2,4,3
711,9,8,5,9,5,2,5,6,6,0,2,9,8,8,3,9,0
717,8,0,9,4,0,5,2,8,5,3,5,6,4,7,4,8,2
719,7,7,3,0,5,4,8,8,7,7,2,3,7,7,5,4,6
725,4,9,8,5,7,6,7,8,7,5,0,9,4,0,7,8,6
734,9,1,8,5,1,5,2,2,0,4,7,2,1,6,5,9,1
737,2,4,9,7,7,3,7,3,7,2,7,3,3,3,8,2,4
739,4,5,4,5,1,9,2,6,5,1,7,2,0,0,3,0,5
745,5,9,8,7,0,9,8,7,0,7,3,4,9,2,6,7,2
746,0,2,8,9,4,4,4,2,5,4,3,3,1,4,3,0,3
750,3,2,1,2,1,4,9,9,2,4,3,2,1,2,7,0,0
752,3,5,2,8,4,6,6,8,6,6,5,1,4,3,5,4,1
762,0,5,6,9,4,5,2,8,8,0,0,6,7,9,9,5,6
768,1,2,7,6,1,0,2,7,6,9,6,3,2,3,4,3,1
769,5,3,4,8,1,8,2,1,6,4,0,7,9,1,7,5,4
779,0,1,1,0,1,6,8,4,1,1,1,9,2,4,6,1,7
783,8,7,6,1,8,9,8,6,0,2,7,3,4,0,7,1,8
786,4,6,0,3,6,0,2,2,5,8,0,4,0,5,8,5,0
801,8,8,4,6,2,8,7,7,0,2,3,2,3,0,6,1,1
813,4,5,7,2,9,5,4,5,9,4,4,0,2,4,1,6,5
814,6,1,9,6,7,9,6,4,1,8,3,7,8,0,5,1,5
816,2,9,7,4,0,2,4,5,2,8,7,1,2,4,3,0,1
819,0,1,7,8,7,0,9,8,7,6,1,8,4,7,9,7,7
825,2,6,5,9,5,4,8,6,4,3,4,8,5,7,5,2,2
831,3,4,8,3,1,3,0,5,9,1,8,6,7,2,4,5,8
833,7,3,1,9,1,2,8,5,1,7,3,3,1,2,6,6,4
835,3,8,4,1,9,8,9,2,2,6,7,6,8,1,0,8,4
836,7,1,2,5,0,6,2,8,0,7,2,0,0,4,8,5,0
837,6,8,4,3,5,6,5,4,3,1,2,0,8,1,9,0,5
840,7,5,0,1,9,9,1,2,1,0,0,3,8,7,0,2,9
856,9,9,1,6,5,9,4,2,6,5,8,3,9,3,9,0,0
861,7,2,0,1,2,6,4,9,9,8,9,5,4,3,5,5,2
865,9,6,0,0,7,9,7,9,5,5,9,2,6,2,6,1,4
870,4,0,3,1,8,4,2,4,9,7,5,5,0,9,4,6,0
871,7,7,6,7,5,2,7,7,0,3,0,8,1,6,5,8,2
873,5,9,6,8,5,2,0,0,0,9,4,3,1,4,3,1,6
895,6,3,3,1,7,1,4,9,7,1,2,9,3,5,2,0,5
903,4,5,4,2,0,4,7,9,3,8,7,8,8,0,7,1,2
906,2,9,4,7,9,9,0,9,4,8,1,3,4,2,4,2,5
913,7,3,7,6,9,2,7,6,5,1,0,0,3,2,5,0,8
926,9,5,7,7,5,1,1,8,9,6,6,6,9,4,5,6,8
944,3,3,2,9,2,2,2,2,2,6,6,2,3,3,8,7,6
946,0,1,1,2,2,5,7,6,0,8,6,3,7,9,7,4,8
956,0,9,3,7,4,1,4,5,6,0,3,8,9,5,5,2,3
960,1,4,2,5,4,0,6,0,7,8,1,3,5,0,5,8,9
962,8,9,8,6,4,3,7,7,3,6,7,3,9,8,4,4,9
963,8,0,1,7,8,0,5,3,0,9,8,8,9,7,4,9,8
967,2,9,2,7,7,0,6,9,6,3,3,8,7,6,8,1,2
973,0,8,9,9,0,0,1,1,7,8,7,6,4,6,9,6,7
975,9,3,5,1,3,9,6,9,8,8,8,1,3,1,3,9,1
977,0,0,0,0,0,9,7,5,2,6,1,4,8,5,5,4,5
978,4,0,3,8,4,3,3,1,5,3,4,6,6,3,3,4,0
989,0,4,0,3,4,3,6,9,8,7,6,1,4,3,0,7,2
991,1,1,0,4,9,0,0,1,3,6,9,1,1,5,3,2,3
1005,3,9,5,7,6,1,1,4,1,9,6,8,8,0,9,1,5
1009,0,0,0,0,4,3,2,3,1,3,2,8,1,3,1,2,2
1013,1,8,1,8,8,6,1,0,2,1,8,8,7,9,2,5,1
1018,9,9,3,3,3,8,3,9,8,5,1,5,9,4,1,6,1
1026,0,7,3,0,9,1,1,8,1,2,6,1,0,7,8,4,2
1027,9,7,0,9,9,7,2,9,6,7,9,3,1,7,5,1,5
1032,3,8,1,3,9,8,1,6,8,7,2,4,6,0,5,5,2
1040,6,8,9,7,8,9,6,1,6,9,0,9,6,4,8,8,9
1044,5,2,1,7,2,2,0,5,3,4,9,0,6,0,1,1,8
1049,8,1,9,4,7,5,4,5,0,6,5,1,7,1,8,0,1
1055,5,9,7,0,4,9,0,0,6,2,9,0,3,2,7,0,5
1056,4,8,1,8,6,9,1,5,7,2,0,6,1,3,9,3,0
1060,7,6,3,5,0,1,8,9,5,8,8,2,5,7,4,4,8
1061,7,3,2,4,2,1,1,4,1,7,8,9,5,4,6,5,4
1063,5,6,8,2,6,5,2,6,7,1,8,6,4,4,0,2,7
1075,6,8,2,8,3,7,3,2,4,0,1,9,5,5,7,5,2
1085,9,0,5,5,6,1,3,7,2,1,7,2,6,9,0,2,1
1087,5,8,7,4,8,9,6,9,8,8,6,7,4,1,6,3,1
1088,3,9,3,2,9,6,5,1,3,3,8,2,2,1,9,4,0
1093,2,8,5,5,8,7,1,3,0,9,5,7,0,1,4,0,3
1097,4,1,7,7,7,0,6,3,2,4,2,3,8,4,3,8,0
1100,7,7,5,1,6,5,9,8,6,1,8,3,1,4,6,6,3
1104,6,1,6,4,1,1,7,2,4,0,5,0,5,9,9,2,4
1112,7,8,9,2,3,4,1,9,1,5,7,1,1,8,0,6,3
1113,0,5,8,1,1,0,5,4,3,3,4,4,9,1,2,5,6
1126,3,5,0,8,2,2,5,4,3,4,0,3,4,2,3,3,8
1138,4,4,8,8,0,3,9,2,0,5,8,3,2,7,0,3,1
1153,8,3,3,5,6,7,8,6,4,0,5,0,6,2,8,4,7
1171,4,5,3,3,2,9,8,4,8,7,3,4,0,8,0,0,0
1176,5,2,8,3,3,3,4,5,8,2,4,6,0,6,4,2,6
1178,8,3,9,6,0,8,7,7,7,3,5,3,6,9,2,0,0
1197,6,6,5,4,5,9,2,5,9,2,4,8,2,1,0,7,8
1209,9,8,4,3,9,0,8,4,0,1,4,2,3,8,4,1,7
1218,5,0,5,0,6,0,5,6,1,0,7,8,4,4,1,8,2
1219,9,2,2,0,4,8,4,7,0,9,1,2,2,5,3,7,9
1221,1,3,1,8,6,1,8,2,8,7,3,1,5,7,9,9,2
1229,8,0,8,7,1,4,9,0,9,7,5,3,4,1,9,2,4
1231,6,4,4,4,0,7,1,8,9,9,1,5,8,1,2,4,5
1239,2,1,9,8,3,4,2,5,5,8,6,1,4,6,2,4,0
1240,3,5,4,7,2,6,2,8,6,9,2,3,2,4,3,7,9
1246,1,7,7,4,2,6,0,7,7,8,1,2,4,9,4,0,7
1250,0,3,4,9,4,6,4,0,6,0,7,7,9,3,2,6,1
1252,4,2,4,1,6,4,5,5,1,4,6,6,6,7,1,3,6
1253,8,8,1,8,6,8,0,3,7,4,3,6,2,1,6,8,6
1266,0,0,3,4,0,9,0,7,0,1,8,3,1,6,1,6,0
1270,7,6,2,0,9,8,9,0,5,1,1,1,8,1,8,9,5
1282,3,6,0,6,7,0,8,6,1,5,6,7,6,6,9,5,9
1284,8,6,3,0,3,5,1,6,0,0,7,9,7,8,7,5,8
1286,1,1,5,4,2,6,3,9,4,5,2,0,4,1,1,4,6
1290,1,5,1,2,1,6,1,7,2,1,7,6,6,6,4,5,3
1298,8,1,6,6,0,0,9,2,4,1,0,8,8,9,0,6,7
1302,8,4,3,9,5,8,5,4,1,8,6,4,8,8,5,1,5
1304,6,1,4,2,0,2,2,6,3,3,2,7,3,0,8,6,1
1309,0,0,4,2,0,7,8,4,3,8,0,0,2,4,6,8,8
1315,1,8,3,2,9,9,2,7,3,5,7,0,9,6,3,5,0
1320,1,4,3,3,7,9,0,5,5,8,5,8,3,0,2,0,0
1322,8,3,4,6,3,4,4,3,4,4,7,1,1,0,8,6,2
1326,6,7,8,4,2,1,7,6,4,6,6,3,7,6,9,8,1
1330,4,0,3,1,7,4,7,1,0,9,6,3,0,7,1,6,4
1338,0,9,0,0,2,3,3,7,2,7,2,2,9,2,8,4,4
1359,9,0,7,6,9,8,5,6,9,8,5,6,3,8,3,7,5
1362,4,7,6,0,0,9,9,0,9,0,7,6,1,9,3,4,1
1374,6,1,9,2,7,5,7,4,1,7,4,7,7,3,4,5,1
1375,5,9,7,8,3,8,7,5,9,0,6,8,7,8,8,9,2
1378,9,5,3,6,0,0,0,0,9,8,3,4,1,1,3,2,4
1390,4,7,4,5,0,7,8,9,3,7,0,4,4,1,1,5,1
1392,6,5,4,6,1,4,2,5,5,9,2,2,8,1,7,8,5
1394,7,2,6,8,6,0,3,8,0,0,7,8,5,0,2,7,7
1396,4,4,9,6,6,3,1,8,7,8,5,8,5,5,3,4,4
1409,4,4,1,9,6,7,0,7,0,4,3,9,0,0,3,6,3
1411,6,9,1,7,7,3,3,6,7,6,6,8,9,4,6,6,9
1412,7,3,6,8,7,7,3,6,2,1,0,4,6,0,8,2,2
1413,3,4,8,6,7,0,0,5,4,7,3,7,1,2,4,8,3
1414,5,7,1,3,1,7,3,1,1,5,0,5,9,2,8,8,9
1416,9,5,4,1,0,8,6,8,3,6,4,1,9,4,8,0,5
1431,1,1,2,5,0,7,3,0,0,3,5,2,4,3,2,5,4
1432,5,6,3,8,9,0,6,1,9,2,3,2,3,9,1,4,4
1445,5,8,3,8,8,4,2,7,6,5,8,0,8,3,0,4,9
1457,1,4,2,5,7,0,0,4,2,0,6,9,6,4,2,6,9
1459,1,5,1,4,6,1,2,5,3,7,6,0,5,5,9,5,2
1460,7,1,9,8,8,4,9,3,3,1,4,5,5,5,0,2,8
1467,3,4,7,8,5,7,0,6,0,1,1,3,4,3,0,4,9
1474,3,3,4,1,4,4,5,1,3,4,5,5,0,4,1,0,9
1476,7,0,8,9,4,7,6,1,6,3,7,2,1,5,8,8,1
1492,8,5,2,5,1,4,4,4,8,6,7,3,6,0,9,4,0
1495,2,2,1,4,5,5,2,0,6,2,3,7,2,9,2,5,9
1503,1,6,8,5,2,9,5,8,9,2,6,9,0,1,2,7,7
1510,6,4,1,2,4,4,8,6,7,0,3,0,7,7,1,1,8
1520,1,3,2,9,6,2,0,9,7,2,0,3,8,4,4,8,1
1523,9,0,2,4,7,7,8,4,4,6,8,4,3,0,7,5,3
1525,3,0,9,2,2,6,3,7,0,5,8,2,8,0,3,6,1
1527,1,4,9,1,0,9,6,5,7,1,8,9,4,9,8,2,8
1530,9,7,4,6,4,1,6,1,3,9,0,9,6,8,8,3,4
1531,1,7,1,7,1,9,4,2,6,4,2,5,3,3,7,1,4
1532,4,2,5,3,0,9,9,4,0,5,5,7,1,6,6,8,0
1534,7,2,1,9,5,6,8,7,4,6,9,2,5,7,0,1,6
1539,5,3,2,9,1,3,1,7,7,6,4,1,9,6,0,1,5
1548,4,5,6,6,0,8,1,6,1,3,7,7,4,0,7,4,6
1550,9,1,1,7,4,1,3,2,8,4,1,1,6,8,3,3,9
1562,7,5,5,5,2,1,7,9,4,0,4,8,1,8,1,3,3
1584,9,5,0,0,6,3,1,9,5,2,9,5,5,3,3,2,2
1591,1,2,3,1,1,2,8,7,5,8,8,0,8,6,5,9,7
1597,1,9,9,0,4,8,4,4,5,6,5,8,5,1,7,6,1
1600,8,9,5,9,8,4,1,9,6,3,9,3,7,2,6,6,2
1602,1,0,8,0,9,1,5,8,7,5,2,3,5,4,1,8,2
1605,2,2,8,9,6,9,7,4,8,6,8,2,1,4,9,1,6
1614,7,2,6,2,0,4,8,8,3,0,4,8,8,8,1,0,4
1630,0,5,2,1,6,0,8,7,4,2,4,6,5,0,0,8,3
1641,3,2,7,1,4,7,4,6,1,3,1,8,1,1,0,3,5
1647,3,0,6,8,8,7,5,7,0,9,2,6,5,4,4,9,4
1650,6,3,2,2,4,6,2,4,3,8,3,5,0,8,6,3,0
1653,1,0,0,1,1,8,3,6,7,7,2,7,2,1,9,6,0
1654,9,4,3,6,9,2,3,0,1,5,4,8,6,0,1,0,3
1655,0,3,4,5,1,5,0,6,2,3,2,7,0,9,8,1,1
1656,5,0,3,3,5,8,5,9,9,4,7,1,7,9,8,8,3
1659,3,3,0,7,7,9,0,6,9,0,0,6,6,5,5,2,1
1661,5,1,4,8,1,1,9,6,8,0,0,7,7,7,3,6,1
1662,5,9,1,8,7,4,0,6,8,5,5,8,2,7,2,9,9
1663,3,9,4,3,7,9,3,3,7,7,5,0,8,4,4,4,3
1664,5,7,6,0,4,0,6,8,7,6,1,8,9,2,3,3,8
1676,9,9,9,0,3,0,9,4,5,0,7,6,0,6,4,6,2
1682,1,0,4,4,7,0,3,3,6,4,6,4,1,6,2,3,2
1684,9,4,4,3,0,0,6,6,2,4,6,7,2,6,2,3,4
1688,9,2,2,8,6,2,8,2,4,8,0,7,3,8,5,4,9
1689,9,9,6,9,3,0,1,2,6,0,0,8,7,8,9,9,9
1696,5,3,4,1,4,2,1,5,4,2,9,6,1,5,7,8,9
1700,3,6,4,4,4,7,7,4,1,0,8,3,3,4,3,5,9
1701,8,1,4,2,0,9,2,6,4,6,7,0,8,4,5,1,3
1703,0,7,1,0,6,9,2,2,8,0,8,4,7,7,6,6,4
1707,7,8,0,2,4,0,3,0,4,3,0,6,9,7,6,4,1
1715,7,1,2,7,3,0,5,0,7,4,1,8,6,6,1,8,3
1717,8,8,9,4,8,5,5,8,4,3,8,1,8,7,9,1,9
1718,2,3,3,0,3,8,3,9,9,6,5,6,6,9,6,4,8
1720,5,2,0,8,5,8,3,6,3,2,3,2,3,2,7,9,5
1727,0,7,6,2,3,3,4,8,8,9,8,5,8,9,5,0,3
1731,3,1,3,4,2,0,1,1,2,7,2,7,2,4,3,4,8
1737,5,9,5,1,9,5,8,4,1,6,8,5,5,2,7,6,6
1741,4,2,8,1,0,8,1,2,1,8,2,7,3,6,9,2,3
1745,7,6,5,0,2,1,8,0,0,8,5,9,3,7,8,9,9
1753,9,7,5,5,6,7,3,1,0,8,0,1,9,3,4,9,0
1778,8,1,5,5,8,8,6,4,4,9,7,7,4,2,1,4,2
1780,1,5,1,0,0,9,7,7,7,7,0,7,5,7,1,4,0
1782,5,8,5,8,6,1,9,0,3,5,7,7,1,5,3,4,0
1788,3,6,5,2,2,8,9,3,7,7,7,3,2,4,6,2,9
1789,1,7,8,2,8,4,8,5,6,8,8,7,5,2,1,4,5
1791,7,3,5,4,8,6,4,3,3,8,6,8,6,8,3,9,1
1795,9,7,9,5,2,6,2,3,7,0,2,0,7,1,5,5,1
1797,6,1,5,5,9,3,1,1,5,9,3,6,3,4,2,6,9
1805,0,6,0,2,5,8,5,9,8,1,0,7,8,0,6,1,8
1809,3,0,7,2,8,2,2,2,4,8,9,7,3,7,3,3,0
1810,2,9,8,3,3,2,2,3,2,3,4,9,7,0,2,4,7
1812,5,4,3,7,2,6,7,0,6,3,5,3,0,7,3,7,5
1816,6,0,8,4,1,7,8,5,4,5,4,3,6,7,3,7,3
1820,6,3,7,8,2,4,0,5,3,6,7,3,0,5,4,7,9
1821,3,4,2,6,5,0,8,6,8,8,3,9,6,5,3,5,9
1855,8,7,1,4,9,0,1,6,7,6,3,5,8,2,6,5,7
1857,5,2,8,0,7,2,4,3,7,1,0,9,8,0,9,1,3
1861,7,8,0,3,4,3,3,2,8,1,9,3,0,9,0,2,3
1867,3,1,2,8,7,4,6,9,5,6,7,2,2,2,2,7,6
1871,6,4,6,9,7,6,2,2,4,1,2,6,5,9,4,0,6
1873,2,2,9,0,1,8,0,0,2,9,7,2,9,3,1,7,1
1878,1,8,2,1,8,9,6,8,6,4,3,1,8,8,4,3,7
1880,6,6,8,4,1,4,8,3,5,9,1,1,1,3,0,2,8
1882,4,3,8,5,2,5,8,4,9,4,2,9,4,6,2,1,8
1885,8,0,3,6,1,0,2,6,9,6,6,2,3,0,2,3,7
1886,0,3,4,6,3,7,2,6,2,2,5,9,1,9,6,5,3
1892,9,7,1,3,2,6,8,0,4,2,2,1,1,6,3,0,8
1893,8,2,0,8,7,5,8,5,5,0,7,0,2,0,2,2,4
1898,7,5,7,0,1,8,4,7,5,0,6,5,9,1,3,0,0
1903,2,9,3,5,7,3,0,7,5,8,5,7,3,2,0,3,9
1907,8,5,7,0,4,5,3,0,1,6,2,2,5,1,4,4,2
1911,6,6,0,1,8,5,3,1,0,4,6,7,2,2,2,2,1
1921,9,3,0,2,7,4,9,2,6,0,1,3,0,0,6,6,3
1922,4,0,6,9,0,0,8,0,9,4,1,7,5,9,4,8,5
1928,0,9,2,9,0,1,2,8,5,9,0,2,9,9,7,9,1
1937,7,6,2,0,9,9,7,1,0,7,2,0,0,3,8,8,0
1948,0,6,4,2,2,3,7,9,5,6,6,8,4,5,9,0,6
1952,8,7,5,6,3,9,7,8,9,4,4,5,1,3,4,2,0
1954,2,5,6,1,6,9,3,7,0,9,1,7,1,8,3,5,2
